,FTMIGMI/LBEATREU inst_corr,FTMIGMI/LBEATREU hist_corr,RU20INTR/STI inst_corr,RU20INTR/STI hist_corr
197,0.8988916617880085,0.8757351822464788,0.92914831628304,0.5434056948111872
198,0.8988916617880085,0.8782823681266712,0.92914831628304,0.5364630364000323
199,0.8988916617880085,0.8658479063646445,0.7647740063290971,0.5416413991764609
200,0.8988916617880085,0.8687089350006605,0.8240925947968688,0.5132045187562322
201,0.8988916617880085,0.8764175962085949,0.72341353369358,0.6673384961187105
202,0.8988916617880085,0.8977029811490335,0.24517652544144136,0.5850987857399124
203,0.8988916617880085,0.8944122189256043,0.18483554497532725,0.48495376599356216
204,0.8988916617880085,0.8929915683610903,0.4407708189372136,0.5078374147499846
205,0.8988916617880085,0.8943582021154818,0.32470851708252296,0.5128674680612552
206,0.8988916617880085,0.897800781211521,-0.1307325652257625,0.44708092919416376
207,0.8988916617880085,0.9023071379126586,-0.15933151031050627,0.3997856094989792
208,0.8988916617880085,0.8403624819775919,0.5057525646775964,0.3922406057463808
209,0.8988916617880085,0.8340962102871441,0.7209951800357238,0.3688915488561491
210,0.8988916617880085,0.8244967835732284,0.6752116146413427,0.45149447823749095
211,0.8988916617880085,0.7891808580387051,0.6752116146413427,0.43905176735529067
212,0.8988916617880085,0.7968465679083725,0.6752116146413427,0.4524773694486527
213,0.8988916617880085,0.7950813725627225,0.7866003065017063,0.4562374651728412
214,0.8988916617880085,0.7924095820170246,0.7866003065017063,0.44013631182878005
215,0.8988916617880085,0.8003006503543688,0.8834431071524064,0.4884049541497472
216,0.8988916617880085,0.7772147125483996,0.8834431071524064,0.472235760864237
217,0.8988916617880085,0.8101642651514704,0.8209227747088202,0.4643720609844025
218,0.8988916617880085,0.816553707285207,0.7832536177207692,0.33752190036747287
219,0.8988916617880085,0.8291380474178864,0.6569907559727811,0.31658767221788864
220,0.8988916617880085,0.8151559686293206,0.4036097138678777,0.3819335471662414
221,0.8988916617880085,0.812819732940038,0.19360158243317088,0.31040300157393036
222,0.8988916617880085,0.8166982676537564,0.4767802433276496,0.31927977590158024
223,0.8988916617880085,0.8292506765390678,0.7479751451940442,0.22179670117950806
224,0.8988916617880085,0.8276226329340534,0.7696614761022872,0.24810027126228584
225,0.8988916617880085,0.8431191888341502,0.36829784138500343,0.22949235673556537
226,0.8988916617880085,0.8524173738711226,0.9113064406764413,0.2720333229995908
227,0.8988916617880085,0.8434966699203995,0.9113064406764413,0.2784120645712893
228,0.8988916617880085,0.7965481574713812,0.8587491909565128,0.3943282735723969
229,0.8988916617880085,0.7961254713619451,0.5534343263925542,0.42230998778119205
230,0.8988916617880085,0.8347009527924275,0.8919721289812358,0.410063989279053
231,0.8988916617880085,0.7977447715979109,0.6673932623809459,0.4268977784602717
232,0.8988916617880085,0.8335444465342293,0.5146345022391671,0.2988160430898494
233,0.8988916617880085,0.8278752630568814,0.6242757204874826,0.2892972003346906
234,0.8988916617880085,0.8340291685615382,0.8443707846784113,0.34036570341762085
235,0.8988916617880085,0.8465215705753947,0.8683709872425801,0.36989025681055504
236,0.8988916617880085,0.8538455949173726,0.8683709872425801,0.3700474342624154
237,0.9926091281606148,0.8666604329997671,0.9636720053066901,0.35553000160253734
238,0.9926091281606148,0.860399867944147,0.7902736513397846,0.4579998010984862
239,0.9926091281606148,0.8651717025549479,0.958952763998896,0.4462198571760952
240,0.9926091281606148,0.8842803420268381,0.958952763998896,0.4701055300295146
241,0.9926091281606148,0.8976427128495548,0.6854547542467304,0.5583081595032612
242,0.9926091281606148,0.8967933154539458,0.6217066633042133,0.4759771631987611
243,0.9926091281606148,0.9034144522258682,0.6164450045452795,0.5194258908004258
244,0.9926091281606148,0.8972118479929577,0.6164450045452795,0.5177598679143557
245,0.9926091281606148,0.8832822025549552,0.8582348591514488,0.5755007536296126
246,0.9926091281606148,0.8868103140201303,0.8582348591514488,0.569115205422597
247,0.9112991648487223,0.8866157599992376,0.808382157665364,0.6080730459152396
248,0.8118314433793479,0.9081663819355494,0.7261359005168224,0.5410975027206103
