,FNERTR/M1CXIAMA inst_corr,FNERTR/M1CXIAMA hist_corr
273,0.169081912719082,-0.06421107312309969
274,0.40979488779486795,-0.039481178309469935
275,-0.22044153234886976,-0.06129366861008913
276,-0.5227007932055164,-0.09132255163628698
277,0.014281562062505164,-0.13319203974966545
278,0.17932920221393753,-0.08179748915077224
279,-0.12615404747480705,-0.024521340892354474
280,-0.32822820111418266,-0.0040416843226220986
281,0.14516518674008103,-0.020024522110237766
282,0.504653499674857,0.02545520812142264
283,0.46137517293503877,0.06389955332910353
284,0.507352518761357,0.06735797579870367
285,-0.14040341747408192,0.06567052320095357
286,-0.23709655568541058,0.07425348811264111
287,-0.37852890708179604,0.0339711910021153
288,-0.2007166022215397,0.008515815620597025
289,0.014195785358353606,-0.022344742089211424
290,-0.07853272997824282,-0.043022288516793177
291,-0.17552144575525017,0.10390347022147403
292,-0.1415487812237174,0.10408497457973243
293,0.5441297542290358,0.12489574939420627
294,0.4872203058847658,0.2410064748186685
295,0.145413737516477,0.1985476921021198
296,-0.19103957223260737,0.16818533762494986
297,-0.3100250381446398,0.1912090810597095
298,-0.47963742805881593,0.0856467893469727
299,-0.8810371172014422,0.10718237286863637
300,-0.32197757729434395,0.06009820809312063
301,-0.22686418137118952,0.08391156070655312
302,-0.9480707216712106,0.08888747426308856
303,-0.05135589750633983,0.040529935140723165
304,-0.24666683664082475,0.032509114041822766
305,-0.5202552271320113,-0.22609589379724632
306,-0.36479466810361344,-0.1937540769915336
307,-0.08124751635151528,-0.1721186117224447
308,-0.3890878892655754,-0.2200992430707529
309,0.17207230717590064,-0.16054750238763707
310,0.07342813336318313,-0.15200868276774335
311,-0.366753168795173,-0.19055934522681162
312,-0.14906163906123743,-0.20694218423638344
313,-0.10051256812692341,-0.20510726851523756
314,-0.41154192184780414,-0.22126220617171186
315,-0.027852309767419536,-0.2949098975230311
316,0.4729445124514646,-0.21579991085117484
317,0.37016400352553747,-0.18759630035472524
318,-0.10510581768214845,-0.20221052228995856
