,FNERTR/FTMIGMI inst_corr,FNERTR/FTMIGMI hist_corr
285,-0.4047643254699401,0.1142677607562265
286,-0.260906499670841,0.10890230712099301
287,0.002385824039044072,0.014227618490569567
288,0.31410741772068274,0.0971148069016675
289,0.3269265937163913,0.05962784698000805
290,-0.10663427915731126,0.026738270510176805
291,-0.051465877854055965,0.0018079180827445143
292,0.4644167986060339,0.008725869154378188
293,0.22932543725417592,0.08712510208123689
294,-0.02709449514699098,0.19686561192824542
295,-0.182598056777842,0.15930860283619985
296,-0.3359288093246043,0.1294004680396103
297,-0.5090648342946283,0.09873862290965217
298,-0.5907155336101797,-0.0919622384790607
299,-0.8752327413913592,-0.0892146324175174
300,-0.835846529185758,-0.15741048103045596
301,-0.35927259794659266,-0.15609802232404385
302,-0.34239567570527063,-0.17039529205583537
303,-0.028202887593332154,-0.23902120101456656
304,0.18095002344021807,-0.27541710382260975
305,-0.13351576873770757,-0.28142981503287706
306,-0.6295791701006664,-0.28110891050340436
307,-0.3623005016363653,-0.310095754314558
308,0.07368085907739227,-0.2876903564212481
309,-0.02733318733016252,-0.21177091642998888
310,-0.49059972734056284,-0.3724481605827859
311,-0.516105607977253,-0.40795674974209384
312,-0.6795368120315358,-0.4650822984946692
313,-0.7267393677313279,-0.46376750200033334
314,-0.4726455919010693,-0.49547147143348297
315,0.09039594371705509,-0.6063653305315038
316,0.6623987266950674,-0.4635133365960884
317,0.6272662691724306,-0.26928160114375843
318,0.36204629855414394,-0.2688752768465259
319,0.2443287158115114,-0.23688196220781646
320,0.2371092468200082,-0.07234964415223284
321,0.35292887450545907,-0.0664526209036971
322,-0.12694736015954966,0.012448188914027606
323,-0.32775438187598777,-0.02629682626728097
324,0.45648567082205027,-0.016318931018545844
325,0.45608173626821624,0.21745372072821445
326,0.41801410324560107,0.2767835593403366
327,0.5425382744525667,0.31801785576509256
328,0.2546789622609323,0.32977046181700215
329,-0.012309914340075192,0.40179679400417423
330,0.45474258246040905,0.256287433855881
331,0.7204874936143123,0.3004720832755413
332,0.35816293715997,0.2864443711971577
333,0.500143193141353,0.39076728659843907
334,0.415365746158645,0.43986367951229266
335,0.5306073248412108,0.44913969337931325
336,0.6144482150803109,0.5003508040801352
337,0.1306144986081886,0.5283871266342404
338,-0.19878693228842018,0.38596553189466615
339,-0.2652640290294179,0.3849176120840502
340,-0.2751766731744691,0.3907607286530133
341,-0.5443001977528766,0.2987129344226628
342,-0.5443001977528766,0.31736055490990545
343,-0.4250614304701734,0.2857880159256316
344,0.013726163439640551,0.31430991642754663
345,-0.2632910488580142,0.28655718812796327
346,-0.24759544295431116,0.24988624856585967
347,-0.10229973087749893,0.1002612613604363
348,0.02097371620255232,0.028304266003086602
349,0.052175617190325374,0.002950566903074116
350,-0.3408955169655475,0.024120582552454268
351,-0.493820724528639,-0.07267143858774322
352,-0.5447319491506871,-0.09874686215878613
353,-0.48340723447857953,-0.12720543291060482
354,0.2578166099563354,-0.13686787752438692
355,0.38532606236418254,-0.1975416872699161
356,-0.005351734423000299,-0.21469670841525862
357,-0.3792010804225032,-0.28793168057613455
358,-0.16531254278407922,-0.28781232964115305
359,0.33674542970144483,-0.34609738403213547
360,-0.08595072185002153,-0.2984747302388162
361,-0.347750859508592,-0.3152062740021039
362,-0.2187661306990534,-0.27613253922407105
363,-0.3021438478498076,-0.19046844512191843
364,-0.12215170734268055,-0.18964221121525157
