,CAC/SPXT inst_corr,CAC/SPXT hist_corr
232,0.9542041159039515,0.09972835423698521
233,0.3634253491115451,0.05734468420398959
234,0.3634253491115451,0.08194864685675438
235,0.3634253491115451,0.10900919409425627
236,0.7656323503809879,0.3751467059013718
237,0.7123737093624911,0.2665451817642587
238,0.7123737093624911,0.300722955609178
239,0.7123737093624911,0.4887228344059569
240,0.7123737093624911,0.5177130327978315
241,0.7123737093624911,0.5085696470491786
242,0.7123737093624911,0.4939188202177764
243,0.7123737093624911,0.492518629511754
244,0.7123737093624911,0.4922367012693483
245,0.7123737093624911,0.4763943935096034
246,0.7123737093624911,0.4683567348316482
247,0.7123737093624911,0.45643745025321836
248,0.7123737093624911,0.4406041516586777
249,0.7123737093624911,0.49017125504400777
250,0.7123737093624911,0.49587821465198256
251,0.7123737093624911,0.5653942562156878
252,0.7123737093624911,0.5706909268002998
253,0.7123737093624911,0.5784147414965229
254,0.8861287895671137,0.564634449313301
255,0.8751752735126473,0.7070237588250623
256,0.8585728503951507,0.7079751165306059
257,-0.14893952779502345,0.5878195870434199
258,-0.044991225970707496,0.4393232396214703
259,0.5752321150135015,0.4875901202948426
260,0.4190074555633724,0.44288023412298616
261,0.6105087400639324,0.2849361636504618
262,0.7773885879436022,0.34550272337486715
263,0.8045157953566777,0.3481150409540161
264,0.8045157953566777,0.38339684771713034
265,0.8045157953566777,0.39470328637006513
266,0.8045157953566777,0.44878185687872263
267,0.8045157953566777,0.4861738742691323
268,0.8045157953566777,0.49206232915473536
269,0.8045157953566777,0.5002144273448389
270,0.8045157953566777,0.50613410784051
271,0.8045157953566777,0.5063912420797649
272,0.8045157953566777,0.5092235151120471
273,0.8045157953566777,0.49224963327927396
274,0.8045157953566777,0.491099985632969
275,0.8776963685441129,0.4689884040950055
276,0.32909619406166135,0.45449716325911493
277,0.21293552749660244,0.16316917799306158
278,0.518562093970817,0.11685919857345992
279,0.518562093970817,0.2591978224438233
280,0.518562093970817,0.3538848920672966
281,0.518562093970817,0.38136005458655137
282,0.7097650092228626,0.36882230670023114
283,0.7097650092228626,0.4548946618826982
284,0.7097650092228626,0.4036906359108516
285,0.7097650092228626,0.413771029389011
286,0.7097650092228626,0.4103416712760552
287,0.7097650092228626,0.3980209286619463
288,0.7097650092228626,0.3990853109142985
289,0.9666322456085511,0.31181274558283584
290,0.8595417975303613,0.28175394890316213
291,0.9992688317740676,0.41350123569801683
292,0.9992688317740676,0.456954275682912
293,0.9992688317740676,0.4496574591810217
294,0.9992688317740676,0.43787858574956434
295,0.9992688317740676,0.4348891314526308
296,0.9992688317740676,0.437197663501393
297,0.9992688317740676,0.40786971358441015
298,0.9992688317740676,0.46114449372881905
299,0.9992688317740676,0.5872339080223112
300,0.9992688317740676,0.7027556004652915
301,0.9992688317740676,0.712556307019276
302,0.9992688317740676,0.7097375560805321
303,0.9992688317740676,0.6794294076322963
304,0.9992688317740676,0.7342187506837983
305,0.9865832896471953,0.7333454537464105
306,0.9865832896471953,0.7270484425764454
307,0.9865832896471953,0.7053429347047652
308,0.9865832896471953,0.7062925759911056
309,0.9865832896471953,0.7193844788855753
310,0.9865832896471953,0.6353644329249897
311,0.9865832896471953,0.6439387540335565
312,0.9865832896471953,0.6632210451946331
313,0.9865832896471953,0.5253867735692062
314,0.9865832896471953,0.4808281602659067
315,0.9865832896471953,0.4854533974494466
316,0.9865832896471953,0.5432268219654373
317,0.9865832896471953,0.5076016638772972
318,0.9865832896471953,0.524303455178134
319,0.9865832896471953,0.5225241041438421
320,0.9865832896471953,0.4698311625254836
321,0.9865832896471953,0.4298829749972918
322,0.9865832896471953,0.4192297873497657
323,0.9865832896471953,0.4194062960059561
324,0.9865832896471953,0.4024505629852246
325,0.9865832896471953,0.4328682311401096
326,0.9865832896471953,0.5550086569194699
327,0.6103766685574057,0.6025158490070279
328,0.7303213555541019,0.5605032151203567
329,0.7735904993769819,0.5592404475175955
330,0.6436854636035126,0.7119625252649789
331,0.6991037792839928,0.7664527407959792
332,0.6991037792839928,0.7211664613265626
333,0.8465090850226877,0.7196017362824703
334,0.8723002069814454,0.7694582842059258
335,0.8734029677095196,0.7692774635472032
336,0.7276690249056011,0.7593923187829271
337,0.5656911744877575,0.7547764304266048
338,0.7687936934936981,0.7434293751911697
339,0.1982419144031754,0.7386336112823838
340,0.5660441541785118,0.6245278080857116
341,0.8543620825814031,0.6825374326823815
342,0.8292304001192455,0.7121153380336434
343,0.8292304001192455,0.6856216859575704
344,0.5022748887231241,0.6781567843340733
345,0.44265095884190336,0.6751968452350413
346,0.39391949590441566,0.6733706937522368
347,0.5123849549661557,0.661400929102186
348,0.5337772858857884,0.664314359350112
349,0.6316700972504844,0.6521752035497855
350,0.826139611612724,0.6951938958564531
351,0.826139611612724,0.6983991851022827
352,0.826139611612724,0.6367427650202646
353,0.7330810863809112,0.6070456198802527
354,0.7208191196217735,0.6182340530524804
355,0.40998994232697755,0.6254752843699267
356,0.1227332500644394,0.5258020144481594
357,0.5904282713424914,0.5285054692569392
358,0.7081141978723406,0.5383607546713286
359,0.9110466389631079,0.5744616128281492
360,0.9110466389631079,0.5740924665342751
361,0.9110466389631079,0.5980467244205232
362,0.9110466389631079,0.6673684727175441
363,0.6593564198304065,0.6180889401881436
364,0.13905238416772628,0.5274800284182422
