,FNERTR/SPXT inst_corr,FNERTR/SPXT hist_corr,SPAEREDT/GBIEMDCW inst_corr,SPAEREDT/GBIEMDCW hist_corr
209,0.7540108730065199,-0.4519492430453396,0.3467441171507188,0.48624204127370946
210,0.7540108730065199,-0.45137056542242293,0.9120189965088715,0.5057504799979476
211,0.5204492593932051,-0.34309136148673214,0.7678787775065511,0.4208957498412559
212,0.15708338225942425,-0.33457660807959194,0.4898930229000262,0.44933036467979626
213,-0.09524823650540419,-0.3366224647554364,0.448450610378511,0.4380759230643347
214,0.023266250731352307,-0.16459902389856684,0.4062756202321939,0.4530259623752939
215,0.7305404177291375,-0.1871439767000801,0.34717908101807143,0.36766054957321687
216,0.729487211058223,-0.10782833886870638,0.44055875571657827,0.3681656498309878
217,0.5283565868026477,0.001819942766593073,0.7298610666451313,0.2319142743111921
218,0.3237381207394994,0.012849379475842141,0.7298610666451313,0.17968456357308707
219,0.20492530686410862,-0.04633245795835864,0.4708692615982509,0.20757743719638166
220,0.2994333961026953,-0.009136166210348151,-0.03502493489916579,0.18327811789768836
221,-0.6754928289948916,-0.0046838051996544285,0.0050787789225337065,0.21328419327302137
222,-0.8016914076595917,-0.1299590285251921,0.1331001223154279,0.22820669434225926
223,-0.2256499836013311,-0.10108189072273542,0.46175707923839526,0.14950262474685883
224,0.11404414747315535,0.005990126024325558,0.635054208190092,0.46102623623496813
225,0.4240268848649911,0.01324985664630553,0.8262802698400868,0.4616615497115647
226,0.4867613092403437,0.09194971990021973,0.924323161387447,0.44182450223600717
227,0.3448217432359905,0.15232812104485677,0.6452209375390251,0.444716298504157
228,0.30132751982551254,0.22756421264976884,0.6452209375390251,0.48689769711120845
229,0.049405152645380715,0.2295941296755961,0.3440046765379448,0.51858762919764
230,-0.22208921029129877,0.23984780786941953,-0.04444781090641212,0.42838853490268647
231,-0.3767617005050764,0.1391086112675519,0.11150078523305006,0.42696630136219493
232,-0.5576138748253868,0.11015527867418244,0.11150078523305006,0.4240216890207141
233,-0.39778669712149906,0.012666869392453225,0.6606937236626388,0.4249364255947116
234,0.017362782863701468,0.02976459324122629,0.6216062959738239,0.4132370648333152
235,-0.16339006758672672,-0.019637804318526315,0.631383774858411,0.4336076782346663
236,0.5116261739088829,-0.013730937830491487,0.7158699178237637,0.4304279502615876
237,0.6060241896650118,0.25144086611819655,0.8067322024029273,0.4342158426744435
238,0.04613034916328682,0.0956629930614824,0.20181625100757516,0.4496566624680184
239,-0.594785172168303,-0.05113712203495022,0.1751321941451397,0.42825448145178263
240,-0.23630664380443955,-0.02585906821315691,0.5029458547769414,0.43221855801587633
241,0.3707673399165633,-0.007482467730446524,0.5685766856486263,0.457941598942723
242,-0.3898135270777925,-0.022225276903679304,0.7669876784310071,0.5212850857869655
243,-0.631108093312838,-0.10820070099408331,0.5005967974170983,0.5226941412716822
244,-0.6652982905467575,-0.07209224505441034,0.6227183238681214,0.5504381627645615
245,-0.5803044371656808,-0.06435807704518634,0.761812443702628,0.5309005584067288
246,-0.5388282646345748,-0.09018323250099262,0.5074462673402576,0.44705594223767536
247,-0.5388282646345748,-0.1096923665114448,0.13085279499855185,0.41479163840589517
248,-0.3895732363126735,-0.14783182132508813,0.0012556887100124323,0.2282406743040013
249,0.17299157051028213,-0.11932898008590519,0.5951503711211173,0.20789794936550512
250,0.19308960434391606,-0.1864752079585417,0.9766187768664406,0.2555673889943266
