,XNBI/VIX inst_corr,XNBI/VIX hist_corr
215,-0.6980646528111729,-0.2692025760325382
216,-0.6980646528111729,-0.27735990098679364
217,-0.6980646528111729,-0.2618156503507798
218,-0.7568473390761836,-0.2399191925462765
219,-0.7880153358087006,-0.3616619103645976
220,-0.7880153358087006,-0.41886724215218735
221,-0.7880153358087006,-0.42251083380178817
222,-0.7880153358087006,-0.34831880208191607
223,-0.7880153358087006,-0.3704891942469691
224,-0.7880153358087006,-0.33936556467679374
225,-0.7880153358087006,-0.34079838925955414
226,-0.7880153358087006,-0.33018061342207206
227,-0.9396867093164636,-0.3593955031665034
228,-0.5452375121624076,-0.36461316566688984
229,-0.5452375121624076,-0.28350420549560884
230,-0.5452375121624076,-0.3086312244389551
231,-0.5452375121624076,-0.3087781884771454
232,-0.47320360155015023,-0.3122713331229357
233,-0.13234994772146186,-0.15432626514537284
234,-0.34723187767398533,-0.16135733973355845
235,-0.39583949742536234,-0.1728847771743593
236,-0.9157505744108722,-0.5177337489837771
237,-0.9157505744108722,-0.5147596824876989
238,-0.8926261349788456,-0.5340585768859394
239,-0.8926261349788456,-0.585875090423584
240,-0.8926261349788456,-0.6248321549654858
241,-0.8926261349788456,-0.6218342825767631
242,-0.8926261349788456,-0.6094231347376209
243,-0.8926261349788456,-0.6221537662789631
244,-0.8926261349788456,-0.6221498350030152
245,-0.8926261349788456,-0.5556089356518722
246,-0.8926261349788456,-0.5564331953744639
247,-0.7643625545803162,-0.5411145098920274
248,-0.7643625545803162,-0.561092121674661
249,-0.7643625545803162,-0.5688573941232598
250,-0.7423360476868343,-0.5887608599449348
251,-0.9507546854589768,-0.6243155000985751
252,-0.7116093610918326,-0.6300374672650308
253,-0.7314941587527571,-0.6578036605980384
254,-0.6239507270387177,-0.6702024509066884
255,-0.9352670752340585,-0.8150014395348193
256,-0.9352670752340585,-0.8191103636174294
257,0.18482142669889945,-0.7289594007645924
258,-0.09543900548863896,-0.6149372175539073
259,-0.7163544195601527,-0.6190382525101603
260,-0.4040786294072797,-0.5782572182010155
261,-0.4463354899214576,-0.49873023635722946
262,-0.7269699637931051,-0.5069149317670886
263,-0.7527541525452748,-0.5193571655889534
264,-0.7527541525452748,-0.5320836996674622
265,-0.7527541525452748,-0.5325593050861149
266,-0.7527541525452748,-0.5574780556082187
267,-0.7527541525452748,-0.5989501247790212
268,-0.7527541525452748,-0.6014723960593564
269,-0.7527541525452748,-0.6135549715147035
270,-0.7527541525452748,-0.6030750437007498
271,-0.7527541525452748,-0.615414149510938
272,-0.7527541525452748,-0.6159057358919027
273,-0.7527541525452748,-0.5993983731301674
274,-0.7527541525452748,-0.5911992236422798
275,-0.7527541525452748,-0.5413773365739052
276,-0.7527541525452748,-0.519293425816871
277,-0.8012906974874533,-0.1787200931855657
278,-0.6482772893240742,-0.1536198415772094
279,-0.7657228861494503,-0.33147490390384393
280,-0.939806001302862,-0.39928633296971994
281,-0.6437743801982245,-0.39989795883155843
282,-0.18234170266985045,-0.33780526999998833
283,-0.8654048451528654,-0.4133497766744839
284,-0.8654048451528654,-0.38517082959677834
285,-0.8654048451528654,-0.3994414118824232
286,-0.8654048451528654,-0.37505692189155937
287,-0.8671101516421563,-0.3717204506585016
288,-0.7486001832005004,-0.48825322712930086
289,-0.9069420048361002,-0.45363084469853543
290,-0.5318220754251786,-0.39818207192598615
291,-0.9161649337729932,-0.46152001152459365
292,-0.9161649337729932,-0.49015668276783203
293,-0.9161649337729932,-0.4995506210568613
294,-0.9161649337729932,-0.495480477389918
295,-0.9161649337729932,-0.4827733948606136
296,-0.9161649337729932,-0.4884110052336448
297,-0.9161649337729932,-0.49488880305728694
298,-0.9161649337729932,-0.5070336617813856
299,-0.9161649337729932,-0.4934998913360153
300,-0.9161649337729932,-0.5463413323626422
301,-0.9161649337729932,-0.5504889302872841
302,-0.5917948812296793,-0.5655518906733424
303,-0.22588555452615539,-0.47114580796962463
304,-0.7563773228659764,-0.5749570465356384
305,-0.8918562306591421,-0.5706854463344614
306,-0.8918562306591421,-0.5783620491026604
307,-0.8918562306591421,-0.5659043024106128
308,-0.8918562306591421,-0.5832675000592686
309,-0.8918562306591421,-0.5887068182773889
310,-0.8918562306591421,-0.47304736683981596
311,-0.8918562306591421,-0.47638976599270794
312,-0.8918562306591421,-0.5266954947141608
313,-0.8918562306591421,-0.3483429502623637
314,-0.8918562306591421,-0.28092065654687975
315,-0.8469777697197863,-0.32305476983145603
316,-0.9587496570641385,-0.2992288821925728
