,LEGATRUU/FTMIGMI inst_corr,LEGATRUU/FTMIGMI hist_corr
282,0.8464416360602127,0.284662088235455
283,0.630254221392145,0.26629776827350604
284,0.7807868441536411,0.3066795114945063
285,0.7265996259430586,0.3184807886683395
286,0.5399640705664164,0.4117712284890951
287,0.5515620442045921,0.5408903386494199
288,0.3895355996857105,0.5172850870799973
289,0.5718726345392625,0.4717935655604222
290,0.5718726345392625,0.4626996042236031
291,0.8245613327640211,0.4806022761810654
292,0.5778050245514829,0.5362021474935724
293,0.5907860860256247,0.5376568417288775
294,0.7319372899067427,0.5937816287014441
295,0.8939675329968598,0.5505866692040678
296,0.2334962621148075,0.5561812451433207
297,0.43502495231979527,0.5363429260639632
298,0.9376326922559293,0.5397137681381582
299,0.376654738826898,0.5244489253322034
300,0.01320779214379594,0.49291027796725007
301,0.5738916330295647,0.5738374738965206
302,0.4122808621028912,0.5618430972759614
303,0.10852995637539319,0.5190036282698143
304,-0.11777065994266499,0.4105296103405856
305,-0.36086939128338674,0.3912732708134768
306,-0.48613658757678796,0.2869194361072007
307,-0.17751730021450765,0.25727175313309636
308,0.565545801587889,0.2444968010960151
309,0.5156605867276433,0.20604486041975204
310,0.03737910475981346,0.2211755439128694
311,-0.2861590045884155,0.14817979269803339
312,-0.5620410774063397,0.12050223649951107
313,-0.4484440427395765,0.09940280217100139
314,-0.17921842017457,-0.026026833259896492
315,0.1511593527356727,-0.04238312355548395
316,0.6397266210536281,-0.06231600467654304
317,0.7369615862014091,-0.06967235243963342
318,0.46191917691801715,-0.07636432671925057
319,0.39841880805169066,-0.09999199953236874
320,0.2686977764932204,-0.1307114739827508
321,0.41715555622876416,-0.11858521979785083
322,0.05603634346231169,-0.0892205243232622
323,-0.10891066488211364,-0.10644624542918722
324,0.06642648052980485,-0.12739696025340738
325,0.35323591745660293,-0.032436471571411885
326,0.7767931011294471,0.07899854893022723
327,0.9701542419051752,0.09724219230998236
328,0.16516001588006443,0.14406717528925053
329,-0.37463252651017753,0.13829863388148023
