,TYVIX/000001.SS inst_corr,TYVIX/000001.SS hist_corr
235,-0.873707082373742,0.036788651452099544
236,-0.873707082373742,0.05071396683096942
237,-0.873707082373742,0.0781350923682849
238,-0.873707082373742,0.14297481847337046
239,-0.873707082373742,0.12982654310422329
240,-0.873707082373742,0.09887615685516538
241,-0.873707082373742,0.10310265605773965
242,-0.873707082373742,0.07357281980835807
243,-0.873707082373742,0.09766144353604479
244,-0.873707082373742,0.02307539859218147
245,-0.8476602541596665,0.0018762377879391818
246,-0.09220815713566746,0.2018209771820415
247,-0.06317066005182545,0.23432700900058245
248,-0.4919222311612177,0.27478843204851733
249,-0.8510136569215251,0.24086342235594518
250,-0.8510136569215251,0.05747333292387089
251,-0.8510136569215251,0.10332517700394463
252,-0.8510136569215251,0.13141736815011998
253,-0.8426049802572266,0.1344785599520772
254,-0.29586849525845144,0.06999022184592778
255,-0.18826016711194515,0.11872266844832112
256,-0.18826016711194515,0.048837217550924156
257,-0.18826016711194515,0.0026878843502063862
258,-0.18826016711194515,0.021848809772859988
259,-0.18826016711194515,0.03693432795803839
260,-0.5549533002119142,0.05995664478501018
261,-0.5549533002119142,0.07905480925577082
262,-0.5549533002119142,0.1238422975511748
263,-0.5549533002119142,0.059545619297544226
264,-0.5549533002119142,0.08612943524366742
265,-0.5890329673118373,0.10502383863042525
266,-0.5890329673118373,0.11883474671612868
267,-0.5890329673118373,0.14582139219601065
268,-0.5890329673118373,0.07197163110179719
269,-0.5890329673118373,-0.014689431197501606
270,-0.5890329673118373,-0.04306508081066381
271,-0.5890329673118373,-0.007914912412186097
272,-0.5890329673118373,0.13568218566380563
273,-0.5890329673118373,0.11334022499606614
274,-0.5890329673118373,0.09592775279995833
275,-0.5890329673118373,0.10200777076406284
276,-0.5890329673118373,0.09554845639218913
277,-0.5890329673118373,0.02625536418310684
278,-0.9308242672905666,0.10518829306107882
279,-0.9308242672905666,-0.23497550509758278
280,-0.9308242672905666,-0.28623541735334485
281,-0.9308242672905666,-0.29694145865037413
282,-0.9308242672905666,-0.38706635999880135
283,-0.9308242672905666,-0.4176276521123282
284,-0.9308242672905666,-0.504693077976367
285,-0.9308242672905666,-0.464714905880315
286,-0.9956807546656249,-0.47641822252622096
287,-0.23148065212944843,-0.5232880100289571
