,TWSE/SHCOMP inst_corr,TWSE/SHCOMP hist_corr
262,0.9215811174151679,0.6772685105298161
263,0.9215811174151679,0.6374013230666095
264,0.9630043892871084,0.602063310390614
265,0.6769770957197274,0.6142696028078094
266,0.6769770957197274,0.5998350877827031
267,0.6769770957197274,0.6064790037775916
268,0.6769770957197274,0.667930963547525
269,0.6769770957197274,0.6788994860341233
270,0.6769770957197274,0.68003672616819
271,0.9072318926596528,0.696210948039019
272,0.9366119294115931,0.6673411150706109
273,0.9366119294115931,0.6825566523509048
274,0.9366119294115931,0.736423057855012
275,0.9366119294115931,0.7514744779339821
276,0.9366119294115931,0.6793558097672917
277,0.9366119294115931,0.7056640224257374
278,0.9366119294115931,0.724229055191901
279,0.9366119294115931,0.7433587807075758
280,0.9366119294115931,0.7351848811586239
281,0.9366119294115931,0.7101515498900912
282,0.9366119294115931,0.6835212545008347
283,0.9366119294115931,0.6701054669407801
284,0.9366119294115931,0.6141166989450637
285,0.48747402209753593,0.5110733992531085
286,0.7020316277369729,0.624594851507367
287,0.7660042976268093,0.5732431226705889
288,0.05238319117097236,0.5531242866885794
289,-0.13541938916473306,0.42337561250422784
290,-0.25058208424070033,0.2812716509419725
291,0.04410482015999807,0.20105864555734299
292,0.6961333708759779,0.12460135323953916
293,0.8416805781705886,0.08558478001130804
294,0.5913475195992289,0.09415422347713746
295,0.5913475195992289,0.16750877586811302
296,0.5913475195992289,0.16775238408192236
297,0.5913475195992289,0.1672768046232252
298,0.5913475195992289,0.17182250260296852
299,0.5913475195992289,0.14395510953953294
300,0.5913475195992289,0.13057467342602014
301,0.5913475195992289,0.10821733588234282
302,0.95106018464753,0.09944278582078529
303,0.9834267114088011,0.1906314436260653
304,0.9834267114088011,0.19461584188807948
305,0.9834267114088011,0.18163763887400688
306,0.9834267114088011,0.17929048993380506
307,0.9834267114088011,0.2168611617193384
308,0.9834267114088011,0.0961355118101981
309,0.9834267114088011,0.16358929491133176
310,0.9834267114088011,0.1875919145227691
311,0.9694070440147453,0.28272957372567104
312,0.7979725929560179,0.3363895257285262
313,0.7979725929560179,0.4491746936400039
314,0.7979725929560179,0.45425797294445824
315,0.7979725929560179,0.538969162580336
316,0.7633750515974203,0.5393746612946048
317,0.5993772516620423,0.4085079116770361
318,0.36451161369470864,0.4168889010649654
319,0.20277049512979112,0.3043728117400652
320,0.8119563372028424,0.3544431219515332
321,0.9787639787173924,0.3042001941377072
322,0.9536326772752018,0.4364795381615515
323,0.9536326772752018,0.42984594970439766
324,0.7476868759934953,0.42746110584169345
325,0.7476868759934953,0.3487816476534229
326,0.758181059509548,0.3387020045191264
327,0.8162230254835771,0.6865539905945395
328,0.5960090955885798,0.705285268891823
329,0.7962013240440026,0.8393462304366337
330,0.7962013240440026,0.8331112174885847
331,0.89470896697799,0.8337851873009654
332,0.5702655780618519,0.8311972914700622
333,0.6276123690190385,0.8302710984995637
