,SPX/SPXT inst_corr,SPX/SPXT hist_corr
334,0.9441513436499628,0.999972277535096
335,0.9441513436499628,0.9999723053669164
336,0.9441513436499628,0.9999731220850991
337,0.9441513436499628,0.9999734865687593
338,0.9441513436499628,0.9999722522511698
339,0.6535683033000309,0.9999725254131892
340,0.828645220012059,0.9999794571944373
341,0.828645220012059,0.9999813964235671
342,0.828645220012059,0.9999824984784117
343,0.828645220012059,0.9999843071345693
344,0.828645220012059,0.9999856108326138
345,0.867536138836108,0.9999863002932979
346,0.867536138836108,0.9999867582279642
347,0.867536138836108,0.9999869311443199
348,0.867536138836108,0.9999908726490978
349,0.8797138369467906,0.9999910375597976
350,0.9701521803054473,0.9999918786443942
351,0.9701521803054473,0.9999757609749618
352,0.9701521803054473,0.9999687025989124
353,0.8285565138866541,0.9999683459633331
354,0.8285565138866541,0.9999667806989233
355,0.8285565138866541,0.9999626713727293
356,0.8285565138866541,0.9999509441263663
357,0.8285565138866541,0.9999513767375744
358,0.8361734727758179,0.9999519848486019
359,0.9505916365132365,0.9999558090147823
360,0.9505916365132365,0.9999565036889585
361,0.9505916365132365,0.9999566344163966
362,0.9505916365132365,0.999948650869989
363,0.9905361814846816,0.9999434350354288
364,0.8757123615562961,0.9999475900369232
