,KOSPI/MXBR inst_corr,KOSPI/MXBR hist_corr
259,0.17106856093260225,-0.06312475793973617
260,-0.003789859336606064,-0.055996811022347444
261,-0.1642524924739977,-0.09472650109422012
262,0.3516561224446204,0.04796308399305293
263,0.7982191059505954,0.1089828790193536
264,0.7982191059505954,0.15572346812016669
265,0.456453114753807,0.14027895526196796
266,0.456453114753807,0.14707869515789743
267,0.9029237535190449,0.12873597746690682
268,0.7597785014884848,0.21145375785033627
269,0.7562300893585582,0.4631284344161787
270,0.8381156407128258,0.49089934665534757
271,0.5798233610088326,0.46874997955270087
272,0.5940208072938027,0.48360665535057135
273,0.3353284251653514,0.44034236349237
274,0.18185656263650385,0.4109461664201637
275,0.5615881858540953,0.3949285979071337
276,0.571515477907275,0.552890064228588
277,0.5451558627382227,0.5400306433988723
278,0.6880956570177484,0.5069347145812132
279,0.6370481472743083,0.5161961815529064
280,-0.30871093166292624,0.4998461807606598
281,-0.6237734862906802,0.393355359586812
282,0.3863324081825521,0.40561636200554185
283,0.5207177302917871,0.4709866806441055
284,0.22023937934322033,0.4149101595315381
285,0.27459833276630846,0.2805194766653146
286,0.3209597423298713,0.28670995390577203
287,0.6536071489478181,0.35861930508934353
288,0.6873929131673393,0.34394245904358794
289,0.29836321537279326,0.32540743899452473
290,0.45328658255847704,0.28092410595400186
291,0.3750750019889222,0.2627430863936266
292,0.3137275834683293,0.35326802693396653
293,0.33919985796338126,0.3074397391018185
294,0.6000839440997736,0.31558590153053045
295,0.4549123527359925,0.3556655355763781
296,0.35402428682566245,0.3252901074015151
297,-0.061985183020477244,0.3231153733692189
298,-0.4365444176877008,0.21738733093598206
299,-0.33968689142255043,0.19460293712959661
300,0.12984960268834436,0.17015758259355912
301,0.21185622536023474,0.1422008840639927
302,0.4364823522324005,0.20533213905679393
303,0.3307214468638403,0.22543153447625744
304,0.4353146387460518,0.22615583575864642
305,0.4151448061606648,0.22715233134060328
306,0.5231050540837936,0.2742262363043756
307,0.39041998796192606,0.2603049238412644
308,-0.4166468499117528,0.3136187649200516
309,-0.37789576314332596,0.1565164799783181
310,0.12812128068302486,0.13013213932140316
311,-0.19276513522176053,0.08806290390832072
312,0.08757565808802553,0.09251440674660223
313,0.5018088192348927,0.11970600348169513
314,0.7106341204802306,0.010462516267109184
315,0.4244592463836228,0.04625171986604472
316,-0.050809063643996524,0.07856501746829996
317,-0.4304223634310095,-0.0921567400084891
318,0.20876534898649166,-0.06426623067563068
319,0.4838789849238034,-0.06440391168201792
320,0.23945323606559132,0.04474827659341896
321,0.2773108705568005,0.09705599125796739
322,0.7379133053580033,0.17548865950854622
323,0.7673418895104934,0.19979150866667925
324,-0.7214110881984875,0.20372009281518702
325,-0.5303857734833543,-0.0453026294908548
326,-0.3858254857573523,-0.13696394152974226
327,-0.19723901712542408,-0.14574728548161733
328,0.044495119564121395,-0.23404774020448899
329,0.24813930502851603,-0.15917316988111427
330,0.35128005442123605,0.06431632928452861
331,0.060200147520843246,0.01222677252257741
332,-0.17901763759996817,0.0012339055774973596
333,-0.14970949717093388,0.010985226414651494
334,0.1863367821167109,0.008097928854710968
335,0.6194471589024935,0.04221835614140742
336,0.547515755795684,0.03223711329458859
337,0.5363644366074586,0.05931024358523713
338,0.4776965152008193,0.14723060651709624
339,0.06000342623482036,0.14452578086462406
340,-0.28056355537281713,0.11667224886305612
341,-0.33476551937897436,0.10027662360682944
