,HSI/TWSE inst_corr,HSI/TWSE hist_corr
262,0.9784654466597698,0.7648874473064167
263,0.9784654466597698,0.7528463804005127
264,0.9784654466597698,0.7269187480304595
265,0.9784654466597698,0.6729206632701368
266,0.9784654466597698,0.7098217635934785
267,0.9784654466597698,0.7005518873800373
268,0.9784654466597698,0.6962189684974961
269,0.9784654466597698,0.6981609119866403
270,0.9784654466597698,0.6946263205704282
271,0.9784654466597698,0.6845517028388503
272,0.9784654466597698,0.7125879254435087
273,0.9784654466597698,0.7137234878364414
274,0.9784654466597698,0.7312876365305772
275,0.9784654466597698,0.6781670389003324
276,0.9784654466597698,0.6839158217777924
277,0.9784654466597698,0.7123382869513167
278,0.9784654466597698,0.6859521874569408
279,0.9784654466597698,0.638732350220644
280,0.9784654466597698,0.6351372311948564
281,0.9784654466597698,0.6371274841984189
282,0.9784654466597698,0.6638795043643498
283,0.7597799583860476,0.5484114955054531
284,0.7597799583860476,0.6176573694258344
285,0.7597799583860476,0.616808914703228
286,0.7597799583860476,0.643174736280324
287,0.6249174818448336,0.5340813763240231
288,0.6249174818448336,0.49254059649595233
289,0.6249174818448336,0.4310757528050809
290,0.8995474967923446,0.39672053752617187
291,0.9246242225300908,0.49660004821619075
292,0.9173756708575185,0.4638391006682361
293,0.9173756708575185,0.5179078011532291
294,0.9173756708575185,0.5175884477368661
295,0.9173756708575185,0.5285659163354262
296,0.9173756708575185,0.5133394180599545
297,0.9173756708575185,0.5051136686907095
298,0.9173756708575185,0.5052370247907815
299,0.9173756708575185,0.46562390697366224
300,0.9173756708575185,0.49787922716497446
301,0.9173756708575185,0.5579693912645685
302,0.9173756708575185,0.56168858878412
303,0.9173756708575185,0.5557459024389856
304,0.9173756708575185,0.559124663369735
305,0.9173756708575185,0.5863042063913112
306,0.9173756708575185,0.5091379628414398
307,0.9173756708575185,0.5417193151017708
308,0.9173756708575185,0.5022725407214687
309,0.8914264830813763,0.57954921201095
310,0.8914264830813763,0.5532470024869346
311,0.8914264830813763,0.6149471602106186
312,0.8914264830813763,0.5991892784149155
313,0.8914264830813763,0.5759584187160555
314,0.6740360669114419,0.5531369204099016
315,0.9249817547144181,0.5343214730811536
316,0.9249817547144181,0.5393032252498484
317,0.942172554461858,0.5006876582176398
318,0.942172554461858,0.5439327925800836
319,0.942172554461858,0.5291966420204668
320,0.942172554461858,0.5828711815269657
321,0.942172554461858,0.6030999364653659
322,0.942172554461858,0.5836225357591109
323,0.942172554461858,0.5390802546944243
324,0.942172554461858,0.5766491830338366
325,0.7942289293769732,0.5774470797469025
326,0.7322809263220819,0.6197155830044014
327,0.39565608081743064,0.5485630613243276
328,0.7441618084030126,0.5526689761343405
329,0.5314102992150715,0.5332787360073181
330,0.859866779496861,0.7058478313431699
331,0.859866779496861,0.7468962058779866
332,0.859866779496861,0.7547596605184901
333,0.859866779496861,0.7500642101374787
334,0.859866779496861,0.7607599292403736
335,0.9244084617685251,0.7583707353934146
336,0.8397314602275392,0.7868771840423919
337,0.8968898908986673,0.778694064981831
338,0.7870641285226575,0.7876199410169694
339,0.8663379843177748,0.7925788990804682
340,0.8663379843177748,0.7764480754537387
341,0.8663379843177748,0.7798460246643394
342,0.8663379843177748,0.7541106284624968
343,0.8836787427747467,0.7833433767445137
344,0.4022810215819858,0.7800860093239167
345,0.4022810215819858,0.7260234081473574
346,0.8968317200991469,0.7145859175231624
347,0.6093595157588376,0.7076525310569305
348,0.6093595157588376,0.7000624886585998
349,0.6093595157588376,0.7104609022300692
350,0.6093595157588376,0.7117745276586072
351,0.6093595157588376,0.7128304518449203
352,0.6093595157588376,0.6544587580235829
353,0.6093595157588376,0.6137944314606704
354,0.6093595157588376,0.5964891015303376
355,0.6093595157588376,0.6053500204855421
356,0.6093595157588376,0.6075513933148916
357,0.6093595157588376,0.6252165695282081
358,0.6093595157588376,0.6180222523070358
359,0.6093595157588376,0.5362977073150247
360,0.6093595157588376,0.5389389471490452
361,0.6093595157588376,0.5674168449170766
362,0.6093595157588376,0.5569716064911651
363,0.6093595157588376,0.5706296442752551
364,0.6093595157588376,0.5734082151421641
