,CAC/FNERTR inst_corr,CAC/FNERTR hist_corr
221,0.5093377640438196,-0.17374989877510003
222,0.8890093198791457,-0.12997286485353662
223,0.5126764292681837,-0.13592509672784592
224,0.20196591047892506,-0.03404692986397125
225,-0.05746644012804499,0.09400107377671381
226,-0.18314932129657513,0.11626247240260788
227,-0.7138353405459729,0.04328223739116818
228,-0.9501031334617879,-0.0011681339828098604
229,-0.6121746289572523,-0.10601387472339807
230,-0.6550340275065707,-0.11641032518961608
231,-0.35421109515396004,-0.23666453153948835
232,-0.08535992811731807,-0.2914144873862018
233,0.3759060405056734,-0.27595956481811146
234,0.7832368097495093,0.22584972257712443
235,0.8081183816298702,0.23517445071119733
236,-0.15558146571651035,0.04445292978562842
237,-0.23784296712691125,0.037237308760802466
238,0.4120594946771468,0.04709527667615499
239,0.24209113597033083,0.052105457605056034
240,0.1650135220848511,0.08519087670759071
241,0.4405559196645916,0.09894921588784499
242,0.5938524400479928,0.10707119698173512
243,0.2768185038328425,0.1264531151580837
244,0.10246272541639127,0.11346882028965659
245,0.307748166391994,0.11545666564479767
246,0.40256200940808595,0.24352041101083108
247,0.21540289616782066,0.20670681494282
248,-0.015375018286062888,0.19674729976531724
249,-0.3904436964395563,0.22587369290088646
250,-0.02115620494336455,0.22627622786316118
251,0.3236991076024016,0.2805331205458977
252,0.2959796697520646,0.2401037022233641
253,0.3053002123582671,0.2813452135159209
254,0.6412142373230236,0.2794483200991974
255,0.6040384793976401,0.30992021795772534
256,0.3055982389291971,0.1406151078752253
257,0.4523697214206128,0.18802716643214726
258,-0.05942832433024049,0.2227818009606567
259,-0.6278699605499363,0.23384945752879838
260,-0.11701122116315962,0.2239318714800784
261,-0.256958937894491,0.19660604515817617
262,0.18779407518483915,0.28704209165467537
263,0.3135660336324633,0.2849224346898159
264,0.09168071614470474,0.2560394411498113
265,0.2803735277114798,0.2640572883540371
266,0.4948707339013332,0.26630475328884234
267,0.7835846074784361,0.28192041258020084
268,0.7616153675942344,0.1711181732589317
