,SPX/NDWLIT inst_corr,SPX/NDWLIT hist_corr,SPX/FTMIGMI inst_corr,SPX/FTMIGMI hist_corr,SPX/GBIEMDCW inst_corr,SPX/GBIEMDCW hist_corr
179,0.35909162546251305,0.4572474574210804,0.9267598301812666,0.3206839565006203,0.7994804025122227,0.4035519900327461
180,0.37787473197325283,0.42799944418387237,0.4872488195951145,0.1971582790861659,0.6337981004546833,0.4064480450550245
181,0.12856718228126984,0.5198856036390999,0.7053029517163277,0.43872239222773207,0.6337981004546833,0.3569009462236932
182,0.0002840764478695179,0.5063145631166102,0.7053029517163277,0.41122620273900207,0.6151553286957686,0.31123508965896446
183,0.13839248457639314,0.5523255305365475,0.7053029517163277,0.35590312475986446,0.7108923138374289,0.3381210826137885
184,0.16960193996832304,0.6154868963891389,0.7053029517163277,0.5614498562941109,0.7108923138374289,0.35025126060514983
185,0.13409285138849103,0.5849207275326285,0.7053029517163277,0.5490603525005027,0.7108923138374289,0.03218157529953564
186,-0.08375243337944754,0.585253105361869,0.7395912094088397,0.5491596137906383,0.5292666022673171,0.28476536395367685
187,0.011400102029857296,0.4905956405948318,0.7395912094088397,0.5304194190337999,0.5292666022673171,0.2903575448327092
188,-0.03527793653609441,0.45226234562161577,0.7395912094088397,0.48089285739591675,0.5292666022673171,0.2986038662311932
189,0.08167323833903442,0.4189478021141135,0.4420465702278512,0.4831954858018609,0.6467097955783095,0.5325493717025563
190,0.07194330794447766,0.4190485365709272,0.4160655249050397,0.5357731789243086,0.3614296611871074,0.4436355000334785
191,-0.22408877484525358,0.11175460376487975,0.8094949639902999,0.6715126630070549,-0.306128974614193,0.5523760526970272
192,0.17260988949795975,0.21188670815819927,0.8094949639902999,0.6959833888004812,-0.11677963266169573,0.32864269525213025
193,0.7872837806060166,0.24440076523800472,0.23190283921839705,0.6118362801709923,0.6128182579262113,0.4222978618450331
194,0.4732596242362001,0.21064634986594324,0.3384248445162208,0.5537342406400176,0.367626213137536,0.43017463826161373
195,0.23660803134017488,0.17881161649354316,0.8471081340514346,0.5649042102634994,-0.3173687057763277,0.200946007431079
196,-0.4847086846301147,0.09046291516858537,0.41874172713813373,0.5040920086752003,0.04731955348023307,0.10877207842244567
197,-0.6599388545757284,0.049840460760841664,0.11639683922644276,0.500729506060598,0.6315505343405571,0.20530107435880793
198,-0.2557611993782064,0.009618430515459164,-0.04830233992682645,0.4465344551735602,0.5459909119784369,0.20633778632521524
199,-0.21386154411394717,-0.005769039486865497,0.3718505022208143,0.4895681375186637,0.6078115832983665,0.20227450938072086
200,-0.36554836448928435,-0.07038275338712408,0.3718505022208143,0.4970042653538814,0.6022483845808089,0.21596407627227118
201,0.14590648886938754,-0.08110608885539373,0.8531755535892254,0.5016554852556396,0.45965833757931274,0.23854189599338974
202,0.25308608746726413,-0.01739009602234531,0.8531755535892254,0.5325373865716961,-0.2893786845586832,0.17320946834113396
203,-0.3275937198020353,-0.033394856296071064,0.8531755535892254,0.4923051676275316,-0.5168167054782464,0.15157665651325256
204,-0.564467879369793,-0.0660602707841359,0.9740563469361111,0.5210236442344016,-0.08086667643194334,0.08038332656018671
