,FTMIGMI/FTMIGMI inst_corr,FTMIGMI/FTMIGMI hist_corr,NAGLAS/NDDLCA inst_corr,NAGLAS/NDDLCA hist_corr
181,0.9014757472795476,0.9999999999999998,0.10603231191613645,0.44728620965446814
182,0.9014757472795476,1.0,0.19290804944871315,0.4202070684014917
183,0.9014757472795476,1.0,0.08303749651666778,0.295613726653929
184,0.9014757472795476,1.0,0.17361009564568586,0.29452861766694327
185,0.9014757472795476,0.9999999999999998,0.0871565549354645,0.2921620469149773
186,0.8414808363472698,1.0,0.07436706384885874,0.2510292132061719
187,0.8414808363472698,0.9999999999999998,0.5770719931910185,0.3495144492826612
188,0.8414808363472698,0.9999999999999998,0.5770719931910185,0.3032407645235346
189,0.9606435679144889,1.0,0.3200587592185498,0.26279854939971303
190,0.9606435679144889,0.9999999999999998,0.24794523608649807,0.2588426356607692
191,0.9606435679144889,1.0,-0.20496133697499583,0.23015928690037316
192,0.9606435679144889,1.0,0.1926979744821132,0.1921041454179344
193,0.9606435679144889,1.0,0.1926979744821132,0.17517781667009036
194,0.9606435679144889,1.0,0.1926979744821132,0.17780609942710907
195,0.9606435679144889,1.0,0.7448561962888758,0.23192208659927344
196,0.9606435679144889,1.0,0.7066159577287272,0.17635792059166652
197,0.9606435679144889,1.0,0.8413505250275441,0.23039272118449375
198,0.9606435679144889,0.9999999999999998,0.9691271598148444,0.262422547554888
199,0.9606435679144889,1.0,0.9602623172524956,0.26223296531911794
200,0.9606435679144889,1.0,0.3526793072019221,0.23198658229603222
201,0.9606435679144889,1.0,0.5313535627959984,0.22710067922442229
202,0.9606435679144889,0.9999999999999998,0.6273309702972416,0.214059055382332
203,0.9606435679144889,1.0,0.48519457559653384,0.23815368151372493
204,0.9606435679144889,1.0,0.48034467158394056,0.27677540015249924
205,0.9606435679144889,0.9999999999999998,0.4937497654623899,0.3021642084578557
206,0.9606435679144889,0.9999999999999998,0.72722043238453,0.2990490614116181
207,0.9606435679144889,0.9999999999999998,0.23873800974745996,0.29889328615993205
208,0.9606435679144889,1.0,-0.12978410783087535,0.283383031468997
209,0.9606435679144889,1.0,0.4363454522261274,0.08269548446213056
210,0.9606435679144889,1.0,0.5029984681496065,0.19117404807631302
211,0.9606435679144889,1.0,0.5703882290371076,0.23766790643599994
212,0.9606435679144889,1.0,0.5703882290371076,0.1834113169569529
213,0.9606435679144889,0.9999999999999999,0.37914154600901706,0.4452094330924543
214,0.9606435679144889,1.0,0.05768129868965062,0.38962247976995046
215,0.9606435679144889,0.9999999999999998,-0.4678023966020733,0.30744331136581565
216,0.9606435679144889,1.0,-0.5318630018934583,0.2021361616891806
217,0.9606435679144889,1.0,0.8174328922209738,0.23093780914512518
218,0.9606435679144889,1.0,0.8042318400088732,0.16875446197468552
219,0.9606435679144889,1.0,0.6159161505473452,0.1578736031407069
220,0.9606435679144889,1.0,0.9623900208016981,0.1839491433077401
221,0.9606435679144889,1.0,0.8992119160159762,0.15776298262562538
222,0.9606435679144889,1.0,0.9088890993399824,0.2622519165630405
223,0.9606435679144889,1.0,0.9088890993399824,0.22879707308214753
224,0.9606435679144889,1.0,0.9088890993399824,0.2273588010520179
225,0.9606435679144889,0.9999999999999998,0.7572888737987236,0.2334459714387807
226,0.9606435679144889,1.0,0.8451976924975885,0.20744703464990713
227,0.9606435679144889,1.0,0.8451976924975885,0.18323448853317703
228,0.9606435679144889,1.0,0.8451976924975885,0.1876902077568195
229,0.9606435679144889,1.0,0.8451976924975885,0.2118357776705453
230,0.9606435679144889,0.9999999999999999,0.8451976924975885,0.3019800116569114
231,0.9606435679144889,1.0,0.6171417397765786,0.28654740676053325
232,0.9606435679144889,1.0,0.23973369762539165,0.2945113615882844
233,0.9606435679144889,1.0,0.1320473795686043,0.19868225078064797
234,0.9606435679144889,1.0,-0.20699263643365132,0.19258600793536862
235,0.9606435679144889,1.0,-0.5432887001349979,-0.007105720316887754
236,0.9606435679144889,1.0,-0.16284613358394953,-0.0066018614066179334
237,0.9606435679144889,1.0,0.4580440384636515,0.11760413803526255
238,0.9606435679144889,1.0,0.40005835317139,0.12190136003471512
239,0.9606435679144889,1.0,0.7366537189649074,0.2714381118709296
240,0.9606435679144889,1.0,0.7366537189649074,0.27444234881249696
241,0.9606435679144889,1.0,0.9084125316854068,0.264199562215988
242,0.9606435679144889,1.0,0.27939500984073135,0.2103052341741624
243,0.9606435679144889,1.0,0.6698292364261247,0.18926408598865582
244,0.9606435679144889,0.9999999999999999,0.8404366454030736,0.15895749305674645
245,0.9606435679144889,1.0,0.13348043540389976,0.18985227029469848
246,0.9606435679144889,1.0,0.033248330972596524,0.1055969088646919
247,0.9135903242232912,1.0,0.06577313978529453,0.09940901000052636
248,0.9173657782359128,1.0,-0.0770654945192941,0.020774954681795
249,0.9173657782359128,1.0,-0.1650919503674247,-0.0309198232842388
250,0.9173657782359128,1.0,-0.4003141040341872,-0.07554711277809828
251,0.9173657782359128,1.0,-0.4196635058701333,-0.1559016184355975
252,0.9173657782359128,1.0,0.2080220836628924,-0.13707959340243378
253,0.9173657782359128,0.9999999999999998,0.455161521433134,-0.13897295776416718
254,0.9173657782359128,1.0,0.3649855256121802,-0.15766075998427614
255,0.9173657782359128,1.0,-0.07955755260580284,-0.1772351946621989
256,0.9173657782359128,1.0,0.09934653749801667,-0.18173414175166322
257,0.9173657782359128,1.0,0.6612940014644578,-0.04801354754795675
