,SENSEX/LF94TRUU inst_corr,SENSEX/LF94TRUU hist_corr
238,0.02089676325984725,-0.22496878116708072
239,-0.402970731257434,-0.2661364825767169
240,-0.3174276722307092,-0.24409611616798135
241,0.11003784089959488,-0.23905369347836716
242,0.2425379331426375,-0.24002992795329509
243,0.3324364849261059,-0.22316610057848546
244,0.1423989745573301,-0.24841844861468657
245,-0.29436586645896917,-0.27578871533198046
246,-0.5337339159263718,-0.36627224733528596
247,-0.41190961344339,-0.33788586952825506
248,0.019765148567782796,-0.34215554706232704
249,0.035861680601556756,-0.38871325935536877
250,0.17157276357874776,-0.2966464461300564
251,-0.01743755527079629,-0.43088604911047745
252,0.21352675354042974,-0.4324241558249354
253,0.9417924480946707,-0.45315211715645465
254,0.9753436155438431,-0.42122145802474076
255,0.6717299320002725,-0.433033850854167
256,0.051693052661794914,-0.4501930811240391
257,0.46134193665943646,-0.45278031727935175
258,0.39600622507062944,-0.43426245254386403
259,0.3508811749832365,-0.3843927092920177
260,0.6040313011278761,-0.3412396663809349
261,0.6506340328951561,-0.19995891183354747
262,0.4574885539818764,-0.2359802684988105
263,0.6683350602244739,-0.03854903280296806
264,0.6639421010663114,-0.03914301368872145
265,0.7009293675603434,0.13548282058665467
266,0.5478899416188044,0.11884573992952407
267,0.07765446418706151,0.12940965321672104
268,-0.10511041958157247,0.21912387017288237
269,0.624690250704625,0.26131970398504717
270,0.599891277294403,0.3341897654266786
271,0.3728958198770744,0.37388307310879076
272,0.22889541951004982,0.3701709847923976
273,0.11006372648855693,0.36155547010794015
274,0.33104380851759047,0.3609848243028227
275,0.7525237531060102,0.373102143979785
276,0.7525237531060102,0.3624845988305813
277,0.984462295175855,0.38718446462281947
278,0.8385456247759155,0.437043677532932
279,0.4480112280739871,0.4149864026979267
280,-0.08410766929792426,0.42245904891087116
281,-0.08235140251506703,0.4375060527615572
282,0.2678460044087761,0.4059607977037233
283,0.07980680398859374,0.3400883391468397
284,0.34839237732429645,0.3577799339214121
285,-0.17380072593248788,0.25185758568873273
286,-0.47198605949544925,0.05574081090683797
