,FTMIGMI/LBUSTRUU inst_corr,FTMIGMI/LBUSTRUU hist_corr
296,0.8963473932659617,0.7357426267753243
297,0.8082607402319816,0.6963071205294389
298,0.8082607402319816,0.6945327701045163
299,0.8082607402319816,0.7001617166596191
300,0.8852864188364211,0.7215512412620219
301,0.9194720887869727,0.7224280939545701
302,0.6018209828910355,0.7161024398078942
303,0.24251785528529832,0.7168404064133131
304,0.11819606214805152,0.6067047075414496
305,0.5401936838601045,0.5931419244238597
306,0.7279440637660981,0.5891255857384811
307,0.8386124435428743,0.5753264377544083
308,0.8386124435428743,0.5283992226744529
309,0.9658056158749546,0.42117892679735575
310,0.7207998232731035,0.49614688517128747
311,0.708221022369572,0.4448787037630531
312,0.31900370279945184,0.4493661844915242
313,0.6358125893872462,0.4452652693694509
314,0.5846474972338516,0.43331219930118114
315,0.5618195545341388,0.4112874167852361
316,0.9279384851948916,0.4075974114240693
317,0.9279384851948916,0.3878856467750742
318,0.9279384851948916,0.3852277846028314
319,0.9279384851948916,0.41075304189983214
320,0.9279384851948916,0.4099469731497152
321,0.9279384851948916,0.4213421150566701
322,0.9279384851948916,0.34546752935348796
323,0.9279384851948916,0.3836044296361668
324,0.8212669627741198,0.3586895047596078
325,0.6874084189606021,0.5590394574345056
326,0.8156094478312669,0.6627808219455462
327,0.8156094478312669,0.6816939128066941
328,0.6790221580905613,0.6851572182083496
329,0.4592632063741266,0.7163261376118288
330,0.6913214712004317,0.6134632996503474
331,0.7728923750231794,0.6348184529166738
332,0.486228111441909,0.5698585761140614
333,0.7525500119195092,0.5826502721635315
334,0.7525500119195092,0.6247363391466867
335,0.7887545380292904,0.6432081256995298
336,0.9121592985147212,0.6322298975393154
337,0.7722930859503344,0.6265857256083227
338,0.6958919610792902,0.6439364225147043
339,0.8213031824350272,0.6721885292552365
340,0.8515878450830265,0.6603659077393235
341,0.8515878450830265,0.6549323492438507
342,0.8515878450830265,0.6271731186933729
343,0.8823813523227454,0.594727850906097
344,0.8687561080268028,0.6114728999199135
345,0.6041833129448727,0.6654714042262061
346,0.5619382275383429,0.6942589307597056
347,0.6604078096234366,0.6149163952022701
348,0.9660434112107746,0.5952319470493856
349,0.9660434112107746,0.5815806849742674
350,0.9660434112107746,0.5894808204839508
351,0.7209724664233679,0.6176091113687183
352,0.4872517266220939,0.7024545622841996
353,0.4062450727555371,0.6526809450007377
354,0.06971375476039632,0.6840628102096228
355,-0.14353789190411814,0.5386028396070932
356,0.10118517273718608,0.5378026852754275
357,0.7699903239139728,0.5115423880404254
358,0.7757308903898863,0.5677207548353104
359,0.7757308903898863,0.5586879387950009
360,0.7757308903898863,0.5203601201808945
361,0.7757308903898863,0.5401589585510568
362,0.7757308903898863,0.5400639452804225
363,0.6187145039063919,0.5085293782175911
364,0.8124300008380969,0.5634897861647226
