,LG30TRUU/SENSEX inst_corr,LG30TRUU/SENSEX hist_corr
255,0.5460449663292284,-0.14506218208035693
256,0.6282780855668353,-0.12610976763260592
257,0.9499054299161055,-0.07367599938830896
258,0.9016533138788803,-0.04415228031182834
259,0.7820968748845293,-0.02615353790473579
260,0.7820968748845293,0.13131225457375498
261,0.7983084669823488,0.13620116235021176
262,0.9635555801041839,0.21103426044933477
263,0.9635555801041839,0.15172903932037496
264,0.9635555801041839,0.23190556393916925
265,0.9635555801041839,0.4465700216473195
266,0.9635555801041839,0.5528404146011622
267,0.3902721576811411,0.59340421151687
268,0.2829963022465652,0.521588331507498
269,0.3951392783468327,0.45118832374747175
270,0.49278786845999234,0.528049104223844
271,0.6489833179551807,0.5410901992842613
272,0.5243629486054513,0.5113977271858807
273,0.7854847698273001,0.5675418438846385
274,0.7854847698273001,0.5639593732372735
275,0.7854847698273001,0.6341730451960108
276,0.7854847698273001,0.6422813187937236
277,0.7767882559731416,0.6230921829509182
278,0.8573293728071562,0.6383935783179989
279,0.8573293728071562,0.6221873935788471
280,0.648878065954788,0.5960811534829716
281,0.6376904401460207,0.5848539121626654
282,0.6592559964221205,0.5044288154159858
283,0.2484709627957444,0.5020993483103334
284,-0.010340576828939012,0.30525716106871176
285,0.19111074960946772,0.261644800782338
286,0.8937358695902634,0.25086776575627406
287,0.9914325245637219,0.22426324805355125
288,0.5522262608968801,0.22723475504944224
289,0.8485356183619238,0.26005980679748386
290,0.8485356183619238,0.30114474311183403
291,0.8485356183619238,0.3292007788058131
292,0.8485356183619238,0.2710025379991506
293,0.8485356183619238,0.24794220186489946
294,0.8485356183619238,0.3038843744530168
295,0.8485356183619238,0.25222838619368393
296,0.9305315055267591,0.28781236067156646
297,0.36766890137672115,0.11736857470804392
298,0.6207940756693195,0.11974377248392733
299,0.6207940756693195,0.18717445005007197
300,0.6207940756693195,0.15703105752719002
301,0.6207940756693195,0.1687902329934084
302,0.3892213729143665,0.1465236319650568
303,0.8470156200725851,0.18612392628702754
304,0.8470156200725851,0.22166157312637863
305,0.9625923955981356,0.14134475931854015
306,0.9625923955981356,0.29678106360127693
307,0.9625923955981356,0.34386080710308214
308,0.5802379347783074,0.32598888449884916
309,0.7774945511364686,0.36873283046047894
310,0.6860418957250098,0.42067663637903635
311,0.19135009996913288,0.2763069639591433
312,0.3610836201435866,0.28225796381375856
313,0.5222716846819214,0.2953008561492785
314,0.46490796955084174,0.276100484827712
315,0.6676323201835676,0.3561927713408391
316,0.9963971288641345,0.3975022615168519
317,0.905923643951229,0.4361763752419595
318,0.27253719945473054,0.35682627856374205
319,0.05137155709872894,0.4025444474696951
320,-0.031477224521725335,0.250038587499672
321,0.1468707371853283,0.22568149365712134
322,0.4870019573637634,0.2207847959454685
323,0.44149957873109413,0.22588207240934446
324,0.21751754593339093,0.20672935205592102
325,0.40851811079424705,0.1557303325108838
326,0.40851811079424705,0.2257906463067129
327,0.8074827928239257,0.2549559957179628
328,0.5154095647172756,0.45925011358149054
329,0.23403573044387457,0.4841438904143567
330,-0.1867173465796919,0.43386122853132914
331,-0.5424263614733253,0.4653334922892283
332,-0.043838426832122954,0.08657176691379984
333,0.6774147332644774,0.3167334249298895
334,0.6774147332644774,0.39834438890455376
