,SPXT/SPX inst_corr,SPXT/SPX hist_corr,SPXT/LG30TRUU inst_corr,SPXT/LG30TRUU hist_corr,SPX/LG30TRUU inst_corr,SPX/LG30TRUU hist_corr
234,0.6592829024623608,0.9998439594278272,0.6337974976779817,0.7827516581674321,0.6325348845932045,0.7779901090479951
235,0.6592829024623608,0.9998519125606201,0.6337974976779817,0.7777829749362017,0.6325348845932045,0.7729900896765397
236,0.6592829024623608,0.9998776781055708,0.6337974976779817,0.7861906812866919,0.6325348845932045,0.7812495671493648
237,0.6592829024623608,0.9998977558497038,0.6337974976779817,0.8224986606174914,0.6325348845932045,0.8178935579350937
238,0.6592829024623608,0.999881604587438,0.6337974976779817,0.8176605578191761,0.6325348845932045,0.8134796213842407
239,0.6592829024623608,0.9998966966333941,0.6337974976779817,0.8351077649685704,0.6325348845932045,0.8314971192710646
240,0.6592829024623608,0.999886822451535,0.6337974976779817,0.8202986833858887,0.6325348845932045,0.8164957421863185
241,0.6592829024623608,0.9998834951523641,0.6337974976779817,0.8206240496499548,0.6325348845932045,0.8164365962896876
242,0.6592829024623608,0.9998685039142322,0.6337974976779817,0.8315042949419854,0.6325348845932045,0.8271375821287017
243,0.6592829024623608,0.9998709894647229,0.6337974976779817,0.834235351446746,0.6325348845932045,0.8300977310500908
244,0.6592829024623608,0.9998730188824587,0.6337974976779817,0.8369187939077192,0.6325348845932045,0.8332565895322969
245,0.6592829024623608,0.9998551144225172,0.6337974976779817,0.8587270976489877,0.6325348845932045,0.8550664635377495
246,0.6592829024623608,0.9998473140353633,0.6337974976779817,0.843877940165269,0.6325348845932045,0.839940446358439
247,0.6592829024623608,0.9998946881254327,0.6337974976779817,0.8613354637489351,0.6325348845932045,0.8603769443545243
248,0.6592829024623608,0.999866459150837,0.6337974976779817,0.8877897147458377,0.6325348845932045,0.8853165960047403
249,0.6592829024623608,0.9998566234743376,0.6337974976779817,0.8750289791622371,0.6325348845932045,0.8725272567113137
250,0.6592829024623608,0.9998764846716909,0.6337974976779817,0.8403691547644592,0.6325348845932045,0.8376242281919778
251,0.6592829024623608,0.999909330804105,0.6337974976779817,0.8357854792584092,0.6325348845932045,0.8340924364608329
252,0.6592829024623608,0.999903299078987,0.6337974976779817,0.8421102801931705,0.6325348845932045,0.8408933475080873
253,0.6592829024623608,0.99990518140535,0.6337974976779817,0.864927240368042,0.6325348845932045,0.8640439190771363
