,FTMIGMI/TWSE inst_corr,FTMIGMI/TWSE hist_corr
230,0.9388893642640046,0.7501465887007024
231,0.9388893642640046,0.7097877433456585
232,0.9388893642640046,0.6783608123312336
233,0.9388893642640046,0.6642817466860538
234,0.9388893642640046,0.6878184240939533
235,0.9388893642640046,0.690738815587399
236,0.8452148286497733,0.7697233728486448
237,0.8452148286497733,0.7925430772101749
238,0.8452148286497733,0.7775096982557621
239,0.8231275254937446,0.7816382309332447
240,0.8231275254937446,0.7923947485042006
241,0.8231275254937446,0.7930077789730356
242,0.8231275254937446,0.7960129517081665
243,0.8231275254937446,0.7964071088402978
244,0.8231275254937446,0.8197813351595352
245,0.8231275254937446,0.8152534892482215
246,0.8231275254937446,0.8008849051719662
247,0.8231275254937446,0.7902459063295975
248,0.7678243758819092,0.7800873029513403
249,0.4579136364661052,0.6919199746902063
250,0.9947629428711433,0.7583668978528081
251,0.9947629428711433,0.7491733266730921
252,0.9168321040031338,0.7563097631627124
253,0.6891459789894103,0.7348307956454336
254,0.6891459789894103,0.7506330644011077
255,0.6891459789894103,0.7450999738631703
256,0.6891459789894103,0.739263617285251
257,0.9386210456777444,0.736770857380347
258,0.9386210456777444,0.7948019295827811
259,0.9386210456777444,0.792250514493193
260,0.9386210456777444,0.7776262832120452
261,0.9386210456777444,0.7678901751434835
262,0.9386210456777444,0.6875691445454801
263,0.9386210456777444,0.6832549235365111
264,0.9386210456777444,0.7154123638479132
265,0.9386210456777444,0.7189677402949505
266,0.9386210456777444,0.7157274759974002
267,0.9386210456777444,0.7264837175798712
268,0.9386210456777444,0.726956516367923
269,0.9386210456777444,0.7354456420852447
270,0.9386210456777444,0.734984536188516
271,0.9386210456777444,0.7890446519937293
272,0.9386210456777444,0.7218426841310959
273,0.9386210456777444,0.7400714219823278
274,0.9386210456777444,0.7794603067731041
275,0.9386210456777444,0.8192598458602939
276,0.9386210456777444,0.7577440369189846
277,0.9386210456777444,0.7496904945147971
278,0.9386210456777444,0.7560653015127891
279,0.9386210456777444,0.7507707142475301
280,0.9386210456777444,0.6439341916229407
281,0.9386210456777444,0.605606402733765
282,0.9386210456777444,0.7260329763233808
283,0.9386210456777444,0.7334811107403341
284,0.9386210456777444,0.7744347370237293
285,0.9456013952418867,0.7220350847804171
286,0.9456013952418867,0.6621531287507454
287,0.9456013952418867,0.6570856787325825
288,0.6170991787080028,0.6238575632801517
289,0.8547553532212742,0.7192384569795284
290,0.8547553532212742,0.7002362058681277
291,0.8547553532212742,0.7231090123193213
292,0.8547553532212742,0.7311595870240358
293,0.8547553532212742,0.7418622667013521
294,0.8547553532212742,0.7276655065292978
295,0.8547553532212742,0.7301977536879383
296,0.8547553532212742,0.7278512414685727
297,0.8547553532212742,0.7065097260327529
298,0.8547553532212742,0.7232949356588485
299,0.8547553532212742,0.7412747041898761
300,0.8547553532212742,0.7314646285808369
301,0.8547553532212742,0.7111645176276247
302,0.8547553532212742,0.6982573635001167
303,0.8547553532212742,0.6990502094822116
304,0.8547553532212742,0.6584728039964356
305,0.9964304868173035,0.6155735905679387
306,0.8037344787892733,0.5982717045433996
307,0.7973714480491936,0.635616734141288
308,0.8305547835928013,0.5936491206278826
309,0.8305547835928013,0.6199249269874914
310,0.8305547835928013,0.6049435407248874
311,0.8305547835928013,0.5078207773313357
312,0.9627707789198225,0.4981135745233785
313,0.9627707789198225,0.4752052549041631
314,0.9627707789198225,0.4899780099526363
315,0.9627707789198225,0.4583320457886976
316,0.9627707789198225,0.508228357294772
317,0.9477006722288894,0.45592931629948297
318,0.9477006722288894,0.5219322445502129
319,0.9477006722288894,0.524507946558295
320,0.9477006722288894,0.5347713009909041
321,0.9477006722288894,0.5022009588857184
322,0.9477006722288894,0.5069845279021773
323,0.9477006722288894,0.5213631034673517
324,0.9477006722288894,0.5841614900336468
325,0.8305414844822862,0.5689920791033832
326,0.6572564242148555,0.6287672581921715
327,0.49483613802599014,0.6603659782574857
328,0.49483613802599014,0.7046913678234606
329,0.5380165291638137,0.7013868119375578
330,0.8066418262016628,0.8447694112905203
331,0.8066418262016628,0.8653978639852994
332,0.8066418262016628,0.8814566337792112
333,0.8919113190443206,0.8832931172415992
334,0.8919113190443206,0.8945537019907372
335,0.7229409862595575,0.8740405979726901
336,0.7229409862595575,0.8838845535002164
337,0.8848308796887472,0.8893429546782042
338,0.8875220786957836,0.8882673518125384
339,0.6648333151440176,0.8876957490757686
340,0.7371825140528605,0.8534534606860374
341,0.7371825140528605,0.8585620073483916
342,0.7371825140528605,0.8519516978856408
343,0.7371825140528605,0.8496799073795428
344,0.804594799189158,0.8724095343413603
345,0.5246068843294156,0.8652642448788244
346,0.5246068843294156,0.8438038168611652
347,0.5246068843294156,0.8431943058339074
348,0.5246068843294156,0.8543666885655515
349,0.5246068843294156,0.8528994903424437
350,0.5246068843294156,0.8445645637873092
351,0.950318235364198,0.8428134477754805
352,0.950318235364198,0.7661592060057126
353,0.950318235364198,0.7084949494244925
354,0.950318235364198,0.7029659445596844
355,0.950318235364198,0.6891040698510736
356,0.950318235364198,0.6806049198384607
357,0.950318235364198,0.6924241875949197
358,0.950318235364198,0.7024695276406567
359,0.950318235364198,0.6957954910061512
360,0.950318235364198,0.6316924897991717
361,0.950318235364198,0.641360096974113
362,0.950318235364198,0.7153168388296869
363,0.950318235364198,0.7110115539007709
364,0.950318235364198,0.7370291278065543
