,M1EF/FTMIGMI inst_corr,M1EF/FTMIGMI hist_corr,GBIEMDCW/GBIEMDCW inst_corr,GBIEMDCW/GBIEMDCW hist_corr
174,0.9014757472795476,1.0,0.9357504502685716,1.0
175,0.9014757472795476,1.0,0.9357504502685716,1.0
176,0.9014757472795476,1.0,0.9357504502685716,0.9999999999999999
177,0.9014757472795476,0.9999999999999998,0.9357504502685716,0.9999999999999999
178,0.9014757472795476,1.0,0.9357504502685716,1.0
179,0.9014757472795476,1.0,0.9357504502685716,1.0
180,0.9014757472795476,0.9999999999999998,0.9357504502685716,1.0
181,0.9014757472795476,0.9999999999999998,0.9357504502685716,1.0
182,0.9014757472795476,1.0,0.9357504502685716,1.0
183,0.9014757472795476,1.0,0.9357504502685716,1.0
184,0.9014757472795476,1.0,0.9357504502685716,1.0
185,0.9014757472795476,0.9999999999999998,0.9357504502685716,1.0
186,0.8414808363472698,1.0,0.9357504502685716,1.0
187,0.8414808363472698,0.9999999999999998,0.9357504502685716,0.9999999999999998
188,0.8414808363472698,0.9999999999999998,0.9357504502685716,1.0
189,0.9606435679144889,1.0,0.9357504502685716,0.9999999999999999
190,0.9606435679144889,0.9999999999999998,0.9357504502685716,1.0
191,0.9606435679144889,1.0,0.9357504502685716,1.0
192,0.9606435679144889,1.0,0.9357504502685716,0.9999999999999999
193,0.9606435679144889,1.0,0.9357504502685716,1.0
194,0.9606435679144889,1.0,0.9357504502685716,1.0
195,0.9606435679144889,1.0,0.9357504502685716,1.0
196,0.9606435679144889,1.0,0.9357504502685716,1.0
197,0.9606435679144889,1.0,0.9357504502685716,1.0
198,0.9606435679144889,0.9999999999999998,0.9357504502685716,1.0
199,0.9606435679144889,1.0,0.9357504502685716,1.0
200,0.9606435679144889,1.0,0.9357504502685716,0.9999999999999999
201,0.9606435679144889,1.0,0.9357504502685716,1.0
202,0.9606435679144889,0.9999999999999998,0.9357504502685716,1.0
203,0.9606435679144889,1.0,0.9357504502685716,1.0
204,0.9606435679144889,1.0,0.9357504502685716,1.0
205,0.9606435679144889,0.9999999999999998,0.9357504502685716,1.0
206,0.9606435679144889,0.9999999999999998,0.9357504502685716,1.0
