,GBIEMDCW/M1EF inst_corr,GBIEMDCW/M1EF hist_corr,LGER/CAC inst_corr,LGER/CAC hist_corr
221,0.7421700218852515,0.4813654393764867,0.9842261973354108,0.7519996563126395
222,0.7421700218852515,0.5598524311183449,0.9842261973354108,0.7254851287389711
223,0.6144354739981269,0.513068706781663,0.9842261973354108,0.7065926720586146
224,0.3116474592981885,0.45184127057037976,0.9842261973354108,0.7102299006405739
225,0.9066846691896684,0.4522346217038571,0.9842261973354108,0.7144770372228658
226,0.732032516109769,0.5448934243723527,0.9842261973354108,0.6993731339925483
227,0.8553758866661674,0.5706009100908744,0.9842261973354108,0.7043908831969292
228,0.8553758866661674,0.570883242955242,0.9842261973354108,0.6712334695581755
229,0.8189518006665129,0.6507393062739502,0.9842261973354108,0.7792370786818771
230,0.897605491045668,0.6569310490968515,0.9842261973354108,0.7888663154718076
231,0.8718821180300186,0.6612759129999591,0.9842261973354108,0.7610284071620294
232,0.9924545383310852,0.6576926172195151,0.9842261973354108,0.7559240005590214
233,0.9924545383310852,0.7095498955258426,0.9448185147646249,0.8004916040664267
234,0.5931468088521508,0.7335833162049935,0.9448185147646249,0.7463663045667629
235,0.10014770041233866,0.6234332244759307,0.9448185147646249,0.767764332128062
236,0.5102964664825159,0.6250193655506876,0.9448185147646249,0.8062646985078219
237,0.5102964664825159,0.6008367521421263,0.9448185147646249,0.7999113220952996
238,0.9481193073820559,0.5763916922197307,0.9448185147646249,0.7928179216526564
239,0.12906891012036797,0.5968128672370242,0.9448185147646249,0.785035714145437
240,-0.19596789699499897,0.5455496294948122,0.9448185147646249,0.784625892115559
241,0.11503544524190454,0.4802285886741441,0.9448185147646249,0.7784129052310291
242,0.678500541229772,0.4513652653156817,0.9448185147646249,0.7859149082379282
243,0.9189464792654156,0.41901170591298975,0.9448185147646249,0.7777253615437247
244,0.42032054555888515,0.39099472143910197,0.9448185147646249,0.7751067817402348
245,0.5978056787448321,0.39573101097545876,0.9448185147646249,0.8232639553173144
246,0.6556911696372835,0.4424830494989932,0.9448185147646249,0.8275393259482628
247,0.3140927723505485,0.4253527215316853,0.9448185147646249,0.8345840085103319
248,0.31097716330257097,0.3077187517000282,0.8827879414939392,0.8567108501481188
249,0.06706037875325509,0.2716308482066539,0.8827879414939392,0.859928547114845
250,0.17644038319715605,0.22835854519862978,0.8827879414939392,0.8724825791917646
251,0.47673622385693376,0.049475627645379716,0.9271453412427985,0.8336103143943898
252,0.47922805390138656,0.07529584576401938,0.8481203041487769,0.877661420318019
