,CAC/LEGATRUU inst_corr,CAC/LEGATRUU hist_corr
333,0.11656551445777498,-0.13087764453351447
334,0.3576212152899582,-0.12574437918271014
335,0.16579351375849377,-0.09189816313329853
336,0.03794360095561545,-0.0587928421197355
337,-0.3440075776016147,-0.20568575544157858
338,-0.5567159952958249,-0.3188505396354291
339,-0.4789158652658996,-0.32055230016084346
340,-0.4503564824992607,-0.2790917991645257
341,-0.7172274330723218,-0.366494863358157
342,-0.9434325134669594,-0.35829194626594857
343,-0.22248692898563108,-0.37982221471402494
344,-0.42105267647833755,-0.4065356247250222
345,-0.5108128381276562,-0.3650012729773459
346,-0.6872605770257235,-0.3565492007677218
347,-0.5111507949368238,-0.4467670729701035
348,0.22379138857037503,-0.49331283418575483
349,0.5068160368081744,-0.40814774481158256
350,0.3785101653597163,-0.3977863821861503
351,0.13547013950697062,-0.34237629626847077
352,0.5264830871971679,-0.13010926067377243
353,0.34010031124133394,-0.08762193504597408
354,-0.6580715136813402,-0.10915685068657882
355,-0.33245754981407916,-0.16896640008714053
356,-0.255340770239588,-0.17228520009667844
357,-0.2389739041227301,-0.2313893901095918
358,-0.10916869464846674,-0.18481929682287915
359,-0.3399485536864518,-0.21866417515802683
360,-0.9983874187376004,-0.18017296251225623
361,-0.9983874187376004,-0.18966677693699383
362,-0.5688634357328077,-0.2063935810437488
