,HSI/TWSE inst_corr,HSI/TWSE hist_corr,HSI/NKY inst_corr,HSI/NKY hist_corr,NKY/TWSE inst_corr,NKY/TWSE hist_corr
299,0.9173756708575185,0.46562390697366224,0.8817251075986867,0.36832144362849806,0.9191673434402499,0.6914632393423925
300,0.9173756708575185,0.49787922716497446,0.8817251075986867,0.4159338450606267,0.9191673434402499,0.6564832662991587
301,0.9173756708575185,0.5579693912645685,0.8817251075986867,0.39073926442986917,0.9191673434402499,0.684191017281344
302,0.9173756708575185,0.56168858878412,0.7155662855776922,0.3533550733279821,0.9191673434402499,0.6612239768648075
303,0.9173756708575185,0.5557459024389856,0.7155662855776922,0.40176406381256075,0.9191673434402499,0.6406794267414686
304,0.9173756708575185,0.559124663369735,0.7155662855776922,0.40060492307430073,0.9191673434402499,0.6415612466924984
305,0.9173756708575185,0.5863042063913112,0.7155662855776922,0.40191755965420517,0.9191673434402499,0.6374902462784517
306,0.9173756708575185,0.5091379628414398,0.7155662855776922,0.3961248867849715,0.9191673434402499,0.6168173881010012
307,0.9173756708575185,0.5417193151017708,0.7155662855776922,0.4382920365666762,0.9191673434402499,0.619743857220678
308,0.9173756708575185,0.5022725407214687,0.7155662855776922,0.3829468985638943,0.9191673434402499,0.6230034737085097
309,0.8914264830813763,0.57954921201095,0.7155662855776922,0.3713237916680895,0.9191673434402499,0.6600438988572649
310,0.8914264830813763,0.5532470024869346,0.7155662855776922,0.3935311193513067,0.9191673434402499,0.6954349681477315
311,0.8914264830813763,0.6149471602106186,0.7155662855776922,0.37060116626813866,0.9191673434402499,0.6396124207092232
312,0.8914264830813763,0.5991892784149155,0.7155662855776922,0.3584673402646995,0.9191673434402499,0.6471483947122249
313,0.8914264830813763,0.5759584187160555,0.6807842780359579,0.3478994274580831,0.9191673434402499,0.48852494113077743
314,0.6740360669114419,0.5531369204099016,0.6782332703171755,0.2883575501077522,0.9191673434402499,0.43232612157783645
315,0.9249817547144181,0.5343214730811536,0.6782332703171755,0.1878573705654286,0.7474833569460112,0.4702371965652132
316,0.9249817547144181,0.5393032252498484,0.9723158840729892,0.43101140018044604,0.2890962175721565,0.26493338374291786
317,0.942172554461858,0.5006876582176398,0.6916846119095965,0.41859420447525497,0.87324251277149,0.315783565081594
318,0.942172554461858,0.5439327925800836,0.3923865519468389,0.31613155006623267,0.87324251277149,0.3287900100290377
319,0.942172554461858,0.5291966420204668,0.9151254359411305,0.35300253482580085,0.87324251277149,0.3903175160897954
320,0.942172554461858,0.5828711815269657,0.9151254359411305,0.4190741678192338,0.87324251277149,0.39143439701910965
321,0.942172554461858,0.6030999364653659,0.9151254359411305,0.45516287378141057,0.87324251277149,0.3992984644490063
322,0.942172554461858,0.5836225357591109,0.9151254359411305,0.4333686655114139,0.7048941589880011,0.34950624658084706
323,0.942172554461858,0.5390802546944243,0.9151254359411305,0.42189702212451735,0.7206896514937081,0.26678780764391985
324,0.942172554461858,0.5766491830338366,0.711869968045397,0.43501962183115345,0.7206896514937081,0.2957395340961841
325,0.7942289293769732,0.5774470797469025,0.3920673661487586,0.32670228533434303,0.7206896514937081,0.3209230517393353
326,0.7322809263220819,0.6197155830044014,0.5304130504927196,0.3186410476923757,0.7206896514937081,0.3420412631301044
327,0.39565608081743064,0.5485630613243276,0.5304130504927196,0.36078757312320847,0.9536636539783038,0.3884811434223369
328,0.7441618084030126,0.5526689761343405,0.6331895147812723,0.3424297187571241,0.9403425404323924,0.43129634088699215
329,0.5314102992150715,0.5332787360073181,0.6331895147812723,0.3873190442679589,0.6133472312809326,0.44328004322477826
330,0.859866779496861,0.7058478313431699,0.6391089081045254,0.3830820113669543,0.7922417540654668,0.7741708172396042
331,0.859866779496861,0.7468962058779866,0.8548244376912789,0.5983916244299939,0.8754173123408263,0.7471925242198835
332,0.859866779496861,0.7547596605184901,0.8548244376912789,0.5921010674529917,0.8754173123408263,0.745997538790271
333,0.859866779496861,0.7500642101374787,0.8548244376912789,0.6048727333248519,0.915465665238975,0.7613793320620756
334,0.859866779496861,0.7607599292403736,0.8548244376912789,0.6127317324636624,0.915465665238975,0.7557265076288757
335,0.9244084617685251,0.7583707353934146,0.8365990732683627,0.629181162487887,0.7062506267310016,0.7480316114092951
336,0.8397314602275392,0.7868771840423919,0.6139501856422486,0.649684528073273,0.7062506267310016,0.7479539795778446
337,0.8968898908986673,0.778694064981831,0.7438389006582383,0.6309433400360998,0.9339796733595689,0.73748407193129
338,0.7870641285226575,0.7876199410169694,0.8863961108596963,0.6854995364693268,0.9461181001214604,0.7897068340133764
339,0.8663379843177748,0.7925788990804682,0.6153868162521806,0.6692300893857341,0.7166446682133671,0.7811934195879227
340,0.8663379843177748,0.7764480754537387,0.6968485681874952,0.6614871421972874,0.8921504547510124,0.7778830866458083
341,0.8663379843177748,0.7798460246643394,0.6968485681874952,0.6388073673773069,0.8921504547510124,0.7677427937756468
342,0.8663379843177748,0.7541106284624968,0.6968485681874952,0.6367258202672398,0.8921504547510124,0.7656394557176734
343,0.8836787427747467,0.7833433767445137,0.7099040490729988,0.5748811352507633,0.985934924088502,0.7563723200129611
344,0.4022810215819858,0.7800860093239167,0.5541577539536969,0.6273574936582706,0.8010679527439917,0.8091903826748097
345,0.4022810215819858,0.7260234081473574,0.36334864133811134,0.5711924926028452,0.558248655280731,0.8079586979792632
346,0.8968317200991469,0.7145859175231624,0.8481581046626838,0.6495538285647291,0.558248655280731,0.7872240880411686
347,0.6093595157588376,0.7076525310569305,0.8481581046626838,0.7238840302330664,0.785585420058429,0.7836412487215716
348,0.6093595157588376,0.7000624886585998,0.8481581046626838,0.7272448723520228,0.3578845392575447,0.7633757115794246
349,0.6093595157588376,0.7104609022300692,0.9820672506904196,0.7367749757977895,0.46616201978408867,0.7591972923209622
350,0.6093595157588376,0.7117745276586072,0.8636801376887008,0.7229330854952978,0.46616201978408867,0.7547945496911996
351,0.6093595157588376,0.7128304518449203,0.960719694041847,0.7132491946831964,0.46616201978408867,0.7609913280868252
352,0.6093595157588376,0.6544587580235829,0.4373530953163783,0.7134769982693655,0.46616201978408867,0.717670754555723
353,0.6093595157588376,0.6137944314606704,0.10794968606442099,0.598568907205394,0.46616201978408867,0.7598468097339596
354,0.6093595157588376,0.5964891015303376,0.5660253169341657,0.5940570746980672,0.46616201978408867,0.7446220983609214
355,0.6093595157588376,0.6053500204855421,0.956472390651976,0.5580057032198855,0.46616201978408867,0.7320357497166445
356,0.6093595157588376,0.6075513933148916,0.9852362838716641,0.5674007471013204,0.46616201978408867,0.7463940598114701
357,0.6093595157588376,0.6252165695282081,0.9852362838716641,0.575640427728025,0.46616201978408867,0.7483320907044188
358,0.6093595157588376,0.6180222523070358,0.9852362838716641,0.5877041116267657,0.46616201978408867,0.752444029738376
359,0.6093595157588376,0.5362977073150247,0.9852362838716641,0.5889126436453813,0.46616201978408867,0.7502393180406173
360,0.6093595157588376,0.5389389471490452,0.9852362838716641,0.513832722854078,0.46616201978408867,0.6964293580433311
361,0.6093595157588376,0.5674168449170766,0.9852362838716641,0.5316480368085652,0.46616201978408867,0.7050252719302145
362,0.6093595157588376,0.5569716064911651,0.9852362838716641,0.5212789385272311,0.46616201978408867,0.5577570326349847
363,0.6093595157588376,0.5706296442752551,0.9852362838716641,0.5250554635790288,0.46616201978408867,0.5661136446163189
364,0.6093595157588376,0.5734082151421641,0.9852362838716641,0.5192605093969629,0.46616201978408867,0.5704522520314056
