,FNERTR/LG30TRUU inst_corr,FNERTR/LG30TRUU hist_corr
264,0.12378287981435483,0.1283480436161091
265,0.41066149328686896,0.15059525939196727
266,0.40002958394683186,0.15752526108840942
267,0.5553651776273792,0.16958723008687454
268,0.7957227450327753,0.18279345784957798
269,0.5267451782385499,0.21863328864083237
270,0.5139944736465791,0.2648820414439578
271,0.005691399574812772,0.27481250146502895
272,-0.08100420516110644,0.27334966203614597
273,0.28976712469374355,0.23438023593730764
274,0.46058276356838684,0.25960002434460094
275,0.4544021608397139,0.2212551769206538
276,0.6294025124624083,0.17151051711852497
277,0.3363371159094766,0.32234310228372365
278,0.4822436130562038,0.38019224426343085
279,0.4712613878679892,0.4109587662860568
280,0.12994884457409825,0.4400482194222618
281,0.1294035261205544,0.4383411713411806
282,0.3629690814995343,0.43982420855456383
283,0.3226971537351285,0.42212951847295094
284,0.07566552339290156,0.4462200713299786
285,-0.31079814281402685,0.43542839539836936
286,-0.3189087225829854,0.4175794419912018
287,-0.2523108735212178,0.3783430717762759
288,0.18302445010362461,0.4025345422108648
289,0.43369230517933616,0.3907606693944811
290,-0.024746109806955543,0.3353156136085824
291,-0.1347235395119822,0.264903053652277
292,0.17478922644159883,0.276326969054511
293,0.5813791033003682,0.3347266573366341
294,0.7352848265075158,0.3260657872378119
295,0.30031248970360686,0.3245980559387083
296,-0.011565224507217883,0.30341900450128106
297,-0.24339911151073934,0.2613682958748644
298,-0.38182747447847126,0.1587112224941451
299,-0.7581658407785433,0.1264015869541144
300,-0.9023780612110314,-0.008943960007011885
301,-0.14338143530077052,-0.09763122831069007
302,-0.41935675993834215,-0.10756541023377958
303,-0.3843750065887594,-0.1656991922069703
304,-0.2237202196098943,-0.26005307381938586
305,-0.5931823801455169,-0.353942330397499
306,-0.657977891952197,-0.35381730630823205
307,-0.5238428823730279,-0.35787435229767117
308,-0.0022649159161119495,-0.3478851878551075
309,0.23329807077733677,-0.22012805973213084
310,0.1633284609241484,-0.3290727282816058
311,0.06299626578868676,-0.30202386429715095
312,-0.37742857870284074,-0.3438462714783034
313,-0.10434042117067449,-0.35057366677486035
314,0.1948094134577243,-0.34726424524564603
315,0.12541889760734368,-0.40093220169942306
316,0.3605744540498908,-0.35660853718961
317,0.5294704573172768,-0.2719608445545833
318,0.08378510244698455,-0.2792166246154811
319,0.23771018032066155,-0.23720295778260087
320,0.2067706664595616,-0.1721415073202506
321,-0.03302798709656413,-0.1510887884427417
322,-0.4236705139412774,-0.17766037416909616
323,-0.359770481770638,-0.18831047520586686
324,0.8857738910618423,-0.18643558749926448
325,0.5546238511708614,0.18994351370858917
326,0.23014798224370958,0.23317412900102036
327,-0.19416851243488342,0.35980455411238105
328,-0.21445015370864967,0.3477897693815333
329,0.05444452664203317,0.27119759549488065
330,0.4901351608513631,0.12664254107404777
331,0.4901351608513631,0.13901881393507665
332,0.7923128142441496,0.12699943749142015
333,0.6301390914620432,0.31310393285739524
334,0.6031625890393821,0.34572199234151507
335,0.5863621604398009,0.353389821124921
336,-0.23010256873464233,0.34943214448715343
337,-0.525292199052292,0.2934433277122316
338,-0.2929949773775706,0.2463624705477034
339,-0.23113742171872537,0.20491271152501653
340,-0.13294799304676513,0.23363635233284755
341,-0.7718684180969434,0.1451095061491372
342,-0.7718684180969434,0.16556593509880127
343,-0.7797799862521579,0.10591856143169895
344,-0.234769633476989,0.17211347240983169
345,-0.2154320663963898,0.14009665514327457
346,0.1285265797505335,0.1475451083280695
347,0.1369138580376232,0.0868742226842867
348,-0.03599204863703552,0.06449705456292953
349,0.0026212957377133475,0.010062601454598533
350,-0.22365756399927011,-0.00613722458762461
351,-0.265626820027989,-0.07050505480154344
352,0.21506644638950934,-0.09318769768950623
353,0.3820453975312878,-0.06528414959547982
354,0.5875984549686707,-0.019358004001693345
355,0.43608663981779805,-0.21741833946884984
356,0.10031777417573848,-0.2637108577012341
357,0.32147046041102845,-0.2144075485176543
358,0.33381505509580056,-0.22068960500329254
359,0.41337676244101934,-0.19461642546587699
360,0.5315311179999079,-0.16647035197080756
361,0.2225804917408928,-0.07863085337984671
362,0.08610238376735008,-0.05762092808121823
363,-0.14597922070844147,0.08789970327014601
364,0.06723964461588948,0.0503260092944497
