,FTMIGMI/NKY inst_corr,FTMIGMI/NKY hist_corr
280,0.9640499766165728,0.5317192926871583
281,0.9640499766165728,0.551641938200284
282,0.9640499766165728,0.5546570895782309
283,0.9640499766165728,0.637599627210801
284,0.9640499766165728,0.6166573139928587
285,0.9640499766165728,0.6043288206349676
286,0.9640499766165728,0.6043437405331831
287,0.9640499766165728,0.6227033059373981
288,0.9640499766165728,0.6158116516133593
289,0.9640499766165728,0.5687433573305319
290,0.7910574571018862,0.641852554981663
291,0.7339087204315451,0.6971787514482164
292,0.6641709927957768,0.5978258469276647
293,0.6179854560124649,0.5883267340301772
294,0.6179854560124649,0.601145829469635
295,0.6179854560124649,0.6088161987956957
296,0.6179854560124649,0.5715863902381952
297,0.6179854560124649,0.590470038041869
298,0.6179854560124649,0.6363799546425261
299,0.6179854560124649,0.6262004677667572
300,0.9976028544492235,0.6211619106126098
301,0.9976028544492235,0.6397982582679237
302,0.9976028544492235,0.635901458796284
303,0.9976028544492235,0.6432967265072268
304,0.9976028544492235,0.6231074451533556
305,0.9976028544492235,0.6330985048234784
306,0.9976028544492235,0.6079668410866236
307,0.9976028544492235,0.6125377703216287
308,0.9976028544492235,0.6164277982921895
309,0.9976028544492235,0.5987370401246938
310,0.6251123409887438,0.5494786539943729
311,0.3622577193422852,0.5209387638560385
312,0.3033241318497015,0.40386421607050915
313,0.3033241318497015,0.24880655077534658
314,0.3033241318497015,0.3870879536564286
315,0.6093897262658918,0.36841925965494493
316,0.22140615782807962,0.24418450463077554
317,0.5385053064542725,0.2949465081726553
318,0.5385053064542725,0.34382380932459045
319,0.5385053064542725,0.4017168584127847
320,0.5385053064542725,0.38573007659393
321,0.5385053064542725,0.38530878512304223
322,0.4269350104538906,0.30393122840133013
323,0.6950316753645247,0.21357865505597917
324,0.6950316753645247,0.21610973740891648
325,0.6950316753645247,0.22303972860093593
326,0.8344912062702753,0.1903493657585707
327,0.8337322461279406,0.27079360039057104
328,0.4107182085715404,0.2792622232134062
329,0.6916444104747519,0.29137298471329964
330,0.5798948077726964,0.24759543862825337
331,0.7201468902406645,0.5466563456687584
332,0.7682876431456861,0.5428409036257696
333,0.8066587532360108,0.5618003350463691
334,0.8233930963290144,0.6260006437425886
335,0.745501102891929,0.6138350438205642
336,0.6600883050700611,0.6102132245399574
337,0.6600883050700611,0.5847576736071105
338,0.8541191862162463,0.6403844634221466
339,0.7753698447333842,0.6694823740785045
340,0.40727856012601277,0.6555963604755092
341,0.436758915150061,0.552179468711051
342,0.8045895614336908,0.5631929734755293
343,0.8045895614336908,0.5523088484482144
344,0.8045895614336908,0.581247675866254
345,0.5716753497450294,0.6522665762680941
346,0.32547274552815336,0.5964722307085342
347,0.6849820539414526,0.6756271535379385
348,0.8513991984461364,0.675892305340041
349,0.7989966967370393,0.6968064731784281
350,0.3240124968908933,0.6944034931927167
351,0.4775142911031161,0.6503297429686554
352,0.6846485486687378,0.662617950781555
353,0.2919612891245324,0.5558607403990709
354,0.47354132314688396,0.5600352666029471
355,0.9790209363713446,0.5473547634462561
356,0.863770887028328,0.5087911200087694
357,0.6463572738510843,0.5151257544435214
358,0.6463572738510843,0.5110012019948985
359,0.6463572738510843,0.5231362264854862
360,0.6463572738510843,0.5175307552491123
361,0.6463572738510843,0.43065222164770606
362,0.6463572738510843,0.4457102670333823
363,0.6463572738510843,0.47142001016645413
364,0.6463572738510843,0.4783112192594838
