,JPEIGLBL/KOSPI inst_corr,JPEIGLBL/KOSPI hist_corr
240,0.8451319256930601,0.5805113383723877
241,0.3820330100299129,0.5663819467339644
242,0.06314429096262271,0.5729033402357666
243,0.5266601821527623,0.5426998545656202
244,0.7392926202333322,0.524189733917301
245,0.7522840180512197,0.5002421337401295
246,0.6780570775292698,0.5007203642543361
247,0.25376431267810823,0.44368428600326415
248,-0.29028146702128094,0.3803834864902724
249,-0.1438565145579998,0.34416669206130385
250,0.6745229785965262,0.3579386435214596
251,0.42615188820799477,0.3851968096370215
252,-0.06985794676351108,0.3241518947372742
253,0.05174529584548871,0.29868224758824474
254,-0.10253862158760375,0.2694399272522827
255,-0.29100869041331856,0.229927994771111
256,-0.1230653294054186,0.18660036315587994
257,0.3467938819047179,0.054835124983278416
258,0.5056729189028263,0.08190477076910549
259,0.5056729189028263,0.13401900190149713
260,0.5056729189028263,0.20071511887278107
261,0.2240263599687439,0.13381650265518336
262,0.778388572906143,0.1938283210912127
263,0.778388572906143,0.21283066054139083
264,0.739904902963194,0.22252018855696093
265,0.398137425955587,0.18807210976488772
266,0.6713260359823484,0.1802888864021854
267,0.3951702377823254,0.1966337363301237
268,0.5957498682801775,0.19068350678598495
269,0.8430855090559666,0.1905613094015717
270,0.21130484584876766,0.20642838479395967
271,0.513157815161927,0.33330574338595764
272,0.8115929299753885,0.3580533809893533
273,0.8115929299753885,0.3521027671693317
274,0.8115929299753885,0.43943312045405936
275,0.687887133777974,0.4378523415173288
276,0.687887133777974,0.5663833483682891
277,0.687887133777974,0.5952841519011922
278,0.687887133777974,0.6035808425116234
279,0.687887133777974,0.5962968397763363
280,0.687887133777974,0.5633817420343438
281,0.687887133777974,0.48239227997645556
282,0.687887133777974,0.45226158766401187
283,0.8403732985565725,0.49524590288169734
284,0.43387035439451804,0.4261858398129574
285,0.9593807263767673,0.49583653923425464
286,0.9593807263767673,0.48960569825938244
287,0.9593807263767673,0.45944411641661986
288,0.3802264618122416,0.45192685663846716
289,-0.0019959717210828094,0.35460902602720606
290,0.49807059460776965,0.37715455437470996
291,0.49807059460776965,0.4093968117160664
292,0.886933749393586,0.542730200813983
293,0.43123537540855456,0.46368070046927895
294,0.7750848399447113,0.42034763286823734
295,0.6521936015348245,0.4156514011145134
296,0.4857897174751131,0.4932060289047082
297,0.8773488154192471,0.6249964051181994
298,0.8773488154192471,0.5789138728742299
299,0.11269804302831037,0.4896784588796701
300,0.42265855347321785,0.49433540230549194
301,0.9384444201018025,0.5094072138728626
302,0.5895803776733032,0.5189201611428362
303,0.6033821006871564,0.5148234479518378
304,0.6266059383038367,0.5103926815756018
305,0.6552059923788986,0.5010954599253722
306,0.6552059923788986,0.5359097165164209
307,0.6552059923788986,0.5107437494060042
308,0.639406846750313,0.4908921205969966
309,0.35773928459251275,0.4909047308681222
310,0.219132449281969,0.4609881184220384
311,0.01800560539210585,0.5037238853212579
312,-0.09369565306510515,0.4968125694282773
313,0.44044412944406686,0.4284742261188492
314,0.6007847364787717,0.42635695064215823
315,0.30631269960514923,0.4255034171233147
316,0.7983140829256655,0.43185443230451365
317,0.889856469109236,0.4254793431168914
318,0.3173689224151188,0.33732165056124
319,0.7480506033664064,0.0738297331224777
320,0.7480506033664064,0.06340700916072474
321,0.7454161978719493,0.15535726686076654
322,0.6126587731046499,0.14631079344965314
323,0.7325299067222015,0.20215531729862216
324,0.5612602581635464,0.21828557944584054
325,0.5612602581635464,0.2984958986022817
326,0.5612602581635464,0.301124009340846
327,0.5612602581635464,0.3336262011959404
328,0.682387470876252,0.3249590251524058
329,0.5674820859990493,0.48479138820713236
330,0.34462101974541953,0.5144942388759766
331,0.07426126541150045,0.5051520954567549
332,0.36033723629599623,0.35413569317099547
333,0.8578151993270532,0.4158225413332643
334,0.5712825435208537,0.4198738820714933
335,0.26880956468862444,0.42939612599155647
336,0.7607736644206513,0.4266436083869696
337,0.7045655002508076,0.46570270029240146
338,0.31596150974484316,0.44392334700265446
339,0.1334663434720186,0.43303456585975375
