,LG30TRUU/NKY inst_corr,LG30TRUU/NKY hist_corr
244,0.7613493006743115,0.09302038012910314
245,0.4778831285306352,0.07805546151102467
246,0.5302100671712965,0.06972306649240612
247,0.5302100671712965,0.04466459107783458
248,0.5302100671712965,-0.06645337721976877
249,0.6697580426984988,-0.10749150177671433
250,0.12458278984179254,-0.2032882164646188
251,0.8991377892333353,-0.17498526332082445
252,0.6687913206778457,-0.074754917130453
253,0.5134337803523156,-0.0651047997445926
254,0.8005982316572147,-0.006496807470355982
255,0.38273915118164564,-0.03978262709937905
256,0.2907207660447545,-0.08688790224951434
257,0.7013472523201427,-0.04137418067338326
258,0.7013472523201427,-0.04218517179914733
259,0.7013472523201427,-0.023161878842031507
260,0.7013472523201427,-0.07114806293590359
261,0.517437872821809,0.0928441632358622
262,0.6669323493891393,0.1924861448948049
263,0.6669323493891393,0.21391378231475808
264,0.6669323493891393,0.1857208498542256
265,0.6282907172850742,0.14683006850542488
266,0.6215046172845361,0.2384744587411861
267,0.6088104585210381,0.3183599585898584
268,0.6088104585210381,0.3452880712944331
269,0.6088104585210381,0.39826561831286605
270,0.6772254372235481,0.4774659007588794
271,0.4972204614039565,0.4618317183239705
272,0.4972204614039565,0.49375257133439604
273,0.4972204614039565,0.49620347281966853
274,0.4972204614039565,0.47128599082661604
275,0.7771050468441068,0.4947987887430801
276,0.78424649163759,0.46258650741806956
277,0.8238352986972994,0.5176960838369983
278,0.8238352986972994,0.5602428111917108
279,0.8238352986972994,0.5396409091097324
280,0.7094662009937716,0.49578597069826275
281,0.8844956064107709,0.5114007271599342
282,0.9025025048140773,0.5078433709883291
283,0.864659285585675,0.4880862097284388
284,0.864659285585675,0.4912275184039066
285,0.864659285585675,0.4928716421610215
286,0.864659285585675,0.49235209138280034
287,0.864659285585675,0.560544322327769
288,0.864659285585675,0.5249230427626196
289,0.864659285585675,0.5035045007540286
290,0.9053696959619884,0.5458600408004604
291,0.9053696959619884,0.5125238081934765
292,0.9053696959619884,0.4777440437968343
293,0.8008723012738372,0.49012855043439607
294,0.941713530889421,0.4839379483360186
295,0.8886108804238764,0.4847527875538539
296,0.8886108804238764,0.49698184068652257
297,0.8886108804238764,0.4927886475751533
298,0.8886108804238764,0.49020228089172696
299,0.8886108804238764,0.4586424953213844
300,0.8886108804238764,0.47556080943243834
301,0.8886108804238764,0.4987332239791323
302,0.8886108804238764,0.5807262810641431
303,0.8886108804238764,0.5532071367939817
304,0.8886108804238764,0.5725881109343164
305,0.8886108804238764,0.5750787292713074
306,0.9919807130674139,0.5805375393080767
307,0.8257971947664856,0.5414383985106835
308,0.8257971947664856,0.5539242098734587
309,0.8257971947664856,0.5541714348654295
310,0.8257971947664856,0.5276666172368287
311,0.8257971947664856,0.5153357657401866
312,0.8250735445685473,0.44119668095768433
313,0.5019998918205496,0.3213553572704882
314,0.5326729191385056,0.3358755909512665
315,0.4230490361749598,0.1978614087487966
316,0.9613356971292835,0.22674328744308947
317,0.44555122793311386,0.19724252124423544
318,0.5082050619029559,0.19733296572983203
319,0.5082050619029559,0.2060064521504391
320,0.5082050619029559,0.20663089296023388
321,0.5082050619029559,0.2056362177716313
322,0.35385011802604327,0.08221202525971835
323,0.6529417540228251,0.06702919826568218
324,0.6529417540228251,0.08059207444788634
325,0.6529417540228251,0.09765839729204749
326,0.6529417540228251,0.09929608075640814
327,0.6529417540228251,0.2055620859985817
328,0.6162711797054123,0.24950544288402793
329,0.432621715767279,0.32131965663686857
330,0.3506699267536431,0.22313265749254224
331,0.6167044776874638,0.6143600840261977
332,0.8301920899817133,0.6265235034330241
333,0.757044022486821,0.6211979767839323
334,0.5969200880836419,0.6350987579852011
335,0.63922531495554,0.6450747027855578
336,0.63922531495554,0.6424526267612469
337,0.6358477163478392,0.6641183815353447
338,0.3599436204057282,0.6515821561733877
339,0.19294654915419168,0.662440810654844
340,-0.15637558406736113,0.5458861889411147
341,-0.13475289745598948,0.4119831420044849
342,0.6679389147756418,0.401005148131496
343,0.6679389147756418,0.3938149146803966
344,0.8882008560459159,0.4538968324331348
345,0.3341660805068502,0.4712608031485432
346,-0.2364519998059769,0.42502436102744373
347,-0.47284091598835387,0.372503279454718
348,-0.3564797280183733,0.34035655799149545
349,0.05358405711409353,0.35410440400478715
350,-0.07207155297380057,0.3260184831689928
351,0.28260814383877897,0.32284656725781896
352,0.9993367051186439,0.3548345260747798
353,0.35152595833989936,0.15887382370112335
354,0.38596191729882073,0.17571851450941453
355,0.3683932201900343,0.1493784559008569
356,0.5005999658479166,0.0672555608360724
357,-0.176633150499489,0.04073129425046503
358,-0.06898575755608545,0.004611206961714462
359,0.6133263152327254,0.02103884120404137
360,0.6133263152327254,0.03602143007710786
361,0.6133263152327254,-0.028421037531480377
362,0.9030897205907129,0.040063660552737336
363,0.651324494632379,0.08149429921777246
364,0.9030771095363755,0.11102348825087294
