,JPEIGLBL/TWSE inst_corr,JPEIGLBL/TWSE hist_corr
240,0.7909280227799348,0.24778945427472934
241,0.8186474629201528,0.22966026410380344
242,0.29861701440501853,0.2567430972645354
243,-0.1922544559381937,0.23093454908450467
244,0.1336083716494226,0.2157364159513674
245,0.8972875749597473,0.19586898197232486
246,0.5414590078084575,0.13631545074856816
247,-0.19584131834491203,0.09927229339624405
248,0.1924000152502707,0.10581890100489977
249,0.564056812093055,0.19292487705771116
250,0.6482627744921504,0.20138162572647897
251,0.3275163659598719,0.17859409854680428
252,-0.2831601411049394,0.11901934595319259
253,-0.3125939450359865,0.02948702025174747
254,0.2845082369559696,-0.09159954563907646
255,0.8486840924908992,0.1803686345517415
256,0.8486840924908992,0.16161355922353055
257,0.3425886626394966,0.16146493870873327
258,0.20593044148702963,0.15240881350918253
259,0.7602092777443861,0.20723103897445838
260,0.7602092777443861,0.259861862757999
261,0.7602092777443861,0.2234817052879614
262,0.9432132866969475,0.21278809246621525
263,0.5307511920533967,0.22710340801257517
264,0.026964310810979598,0.21912380896195066
265,-0.1725763733714033,0.19669571483151335
266,-0.19321946780436666,0.15678248715086432
267,0.08920359859411492,0.12538292012930716
268,0.5778058685045101,0.1974353588613349
269,0.5778058685045101,0.2630548046836857
270,0.5778058685045101,0.2963893046271039
271,0.663485981473628,0.29197724497860067
272,0.663485981473628,0.3583074031801327
273,0.663485981473628,0.37920366524689586
274,0.663485981473628,0.40622548234174244
275,0.663485981473628,0.4443769632621998
276,0.663485981473628,0.47609282486984594
277,0.7849315413893345,0.24819120055549437
278,0.9907160458742372,0.22524436207524892
279,0.3338685465275322,0.2058721790059972
280,0.3041017887374433,0.2473779844499873
281,0.7477471373937827,0.1930717331062886
282,0.7477471373937827,0.15058640434694215
283,0.7477471373937827,0.17734240068191504
284,0.6675264183759488,0.16287908052636205
285,0.12539001901523814,0.15721218786139962
286,0.4731313705900906,0.19344613880814782
287,0.4731313705900906,0.2964206751266138
288,0.4731313705900906,0.48144720968305416
289,0.39279467645667915,0.5788390055616252
290,0.22198353553824077,0.4411292486317625
291,0.5287013985332003,0.4635540064314324
292,0.3266997968153124,0.45147946331084987
293,0.7596515128146453,0.6489466579026192
294,0.7596515128146453,0.6172028742978335
295,0.5601136342105244,0.5817995183096206
296,0.46697455450119546,0.541798506402952
297,0.9194734260739367,0.5339182753976905
298,0.9194734260739367,0.5349770421996118
299,0.6210078390122419,0.5509320348463211
300,0.49987556940988553,0.5523298728034101
301,0.8189456128830696,0.5507173515273283
302,0.8189456128830696,0.5739067555294302
303,0.7911157622606286,0.56471406151349
304,0.3583058448191892,0.5580897365827109
