,SHCOMP/SENSEX inst_corr,SHCOMP/SENSEX hist_corr
268,0.9457794078802259,0.6840179572449376
269,0.9457794078802259,0.7149696822306295
270,0.9451235802165476,0.6719443987715092
271,0.09972811545562259,0.623368342062346
272,0.09972811545562259,0.7029503110296079
273,0.8949695123104938,0.7617634095764764
274,0.7059654434252643,0.7738268632561923
275,0.7147480596058073,0.7919659495885262
276,0.5923056230683711,0.7781154524131502
277,0.5923056230683711,0.7907696915477399
278,0.5923056230683711,0.782051279092535
279,0.5923056230683711,0.7703204945933573
280,0.6040522358190958,0.7725747564306356
281,0.6040522358190958,0.7607657668121032
282,0.6040522358190958,0.7152529225758864
283,0.8954313132881939,0.7051759586848769
284,0.7703588626134409,0.7042075860637952
285,0.7703588626134409,0.6962070077015046
286,0.7703588626134409,0.6857653517357379
287,0.315078519464059,0.6687830556062133
288,0.46212364612624507,0.6063540721790038
289,0.46212364612624507,0.5872482701872771
290,0.46212364612624507,0.5271425138245602
291,0.7731504251699352,0.48440297629664014
292,0.6390965031283016,0.5718284481498461
293,0.258407053523435,0.5299215101268132
294,-0.30835164501557116,0.4930750543926704
295,-0.21842289947814564,0.38593868220471156
296,-0.08444573012415453,0.290730612518287
297,0.6443211995183413,0.28279084898286405
298,0.6443211995183413,0.26521421830766073
299,0.920076496513649,0.1966189943258914
300,0.5189427675519782,0.18970918653042118
301,0.6795475049031056,0.2692121520761581
302,0.34355674227236027,0.22498625760061383
303,0.34185997212264124,0.2660219154553333
304,0.5584890779158549,0.23415008786037295
305,0.5584890779158549,0.22503118777989808
306,0.6101287008780795,0.18366773530459593
307,0.9522140393705967,0.28197500153384947
308,0.9522140393705967,0.2836332433663114
309,0.9522140393705967,0.2845876977314676
310,0.9522140393705967,0.31256422984696497
311,0.5879067797150894,0.3150932230480024
312,0.37103742764442654,0.28632016902178953
313,0.36867547273011214,0.22165287929476452
314,0.6372518413719297,0.15860769278346365
315,0.5226473222050834,0.21429678099882415
316,0.7414737341271089,0.25131692769222486
317,0.7001198337742133,0.3705571812970986
318,0.7048116776362555,0.392844832998486
319,0.5287896289476333,0.35017750323434965
320,0.6362583345887844,0.40568450758981023
321,0.4041529998424264,0.4407123940711782
322,-0.11023044968976974,0.3266612190827432
323,-0.17010719118862355,0.26958544333003875
324,-0.1511032664218585,0.24276099222682673
325,0.2778334343297453,0.21319369112673348
326,0.4284556076278504,0.19632064596062615
327,0.8236122086720731,0.21990871751281518
328,0.6244793844766944,0.2150228519865081
329,0.7513077519907286,0.551435890422313
330,0.8278798264720727,0.562396291275583
331,0.39737911955461297,0.5453632104840885
332,0.7627549042795384,0.5977503699948746
333,0.9641089533124874,0.6006215972069433
334,0.2227092771287657,0.5698648760220345
335,-0.385481385539435,0.5539300677917549
336,-0.41329123292297465,0.5442907445423014
337,0.22015559155937064,0.5538041845245094
338,0.0036085681952847492,0.4860338736656092
339,0.32562881532185584,0.4764577890455724
340,0.7873455889021884,0.48109047090997487
341,0.3997447649812831,0.49287796936992395
342,-0.2428006286885688,0.48135653079947804
343,-0.5397220522337163,0.3389794300721082
344,-0.014769880748582164,0.35428638546493396
345,0.8235506678830264,0.3884731325286357
346,0.6519493697469637,0.42691396042961766
347,0.8616550358562767,0.4733058822757247
348,0.8616550358562767,0.47825138082782725
349,0.901840230421951,0.47696293074500756
350,0.278111896614039,0.4752743859066669
351,0.1785583608681735,0.31458671518007375
352,-0.030724037348846555,0.27944138213053515
353,0.5480163504653255,0.29303941415060536
354,0.9015059543619357,0.04295585617575917
355,0.8876775255736051,0.002912716925613184
356,0.7047951906645293,0.023930783800826815
357,0.7047951906645293,0.0704755054596716
358,0.936725842537768,0.1523376901667534
359,0.4576251407112776,0.12801677442755924
360,-0.34733652461947045,0.26372661306671996
361,-0.4423833506490712,0.07610902767011751
362,0.16124400771670175,0.07124874094122212
363,0.8829925500935414,0.09018462065664742
364,0.6283574152154211,0.08873053668604568
