,NKY/JPEIGLBL inst_corr,NKY/JPEIGLBL hist_corr,KOSPI/LEGATRUU inst_corr,KOSPI/LEGATRUU hist_corr
211,0.4132088750069594,0.5361357223870382,-0.05692561774210977,-0.2609886860924593
212,0.9796320228079598,0.5286757333886841,0.3486480700854207,-0.25455112774531147
213,0.8627192119401312,0.5274918803739521,0.2422900768039615,-0.24346753126479967
214,0.6914290291104989,0.5539934407324065,-0.35393477165803494,-0.24220985871028125
215,0.6004504098487747,0.5244686318308663,-0.05204162806801985,-0.23634093988726534
216,0.6208381962602998,0.5459730367406276,0.5866865246999158,-0.2248501656249583
217,0.6677746085261124,0.5454989103030422,0.6373411333160615,-0.16550271021665314
218,0.674959175851444,0.4935628782750092,0.2621248503335933,-0.23162536250225532
219,0.674959175851444,0.4641325669622284,0.23813132927872382,-0.06463694878348188
220,0.7480461357210659,0.449796258318723,0.6847685689624244,-0.07996520973979956
221,0.6621867495548321,0.4334548835782169,0.7508218370745233,-0.05303116201943876
222,0.7950274560657073,0.3848247719474607,0.30006356464797856,-0.04212666921346069
223,0.8423744874765304,0.3790198874148285,0.43883078102934797,-0.03730375778572882
224,0.7727533018601955,0.17420615555450847,0.1811417689823579,0.03475081490035677
225,0.5875141693551456,0.3228361309633595,-0.45685582156527377,-0.03171350408605269
226,0.6989007558381725,0.3426695840988175,0.110146425013058,-0.03385295102215999
227,0.5028167087144244,0.35622426983869304,0.6235961595217077,0.06848087613453754
228,0.08044343680900912,0.41163178527325783,0.9540233875806772,0.22108980460190356
229,0.8047113020035229,0.42038575620541213,0.7216337474721967,0.33021396723214547
230,0.6192941079267664,0.27905782710209504,0.9344573386953231,0.33617938044617224
231,0.4720051083653378,0.4114066995473229,0.6899058745991627,0.3284545000784297
232,0.9000186188227449,0.4243366728734839,0.9225754878274662,0.45572785976094093
233,0.5935138654861832,0.45775160977368684,0.839136862066134,0.45729240371248814
234,0.0061238698754781,0.44247513452158416,0.6703284177988416,0.4441905819515875
235,-0.08232438127180457,0.44730617796459704,0.8593228348844177,0.4661765041437273
236,-0.20826464267207873,0.4337831344013153,-0.1723778683144692,0.48209963423503693
237,-0.9866338921861535,0.43513372064355166,-0.24129169407263693,0.500436266034381
238,-0.6445294067055931,0.3511650221443815,-0.21008725777589993,0.45898852433769427
239,-0.38029973501167075,0.10310906775945726,0.10768307595257766,0.4409228397107366
240,-0.33871835630171143,-0.02791286456554416,-0.3070740649676683,0.4486149109541144
241,0.04385946655500035,-0.03376722344213052,-0.212197433799424,0.3613875934838653
242,0.7266327073709711,-0.0629169194085978,0.2756038421709557,0.2782161753284883
243,0.060913646685335845,-0.030960845623561436,0.2170666205790573,0.3211074626206252
244,-0.22584767182503518,-0.0959225233047009,-0.5208052076166239,0.23010643072230877
245,0.5909841113037144,-0.10063439662728617,-0.444732740939649,0.2440821539290067
246,0.5909841113037144,-0.0440096467090468,0.09324707757687788,0.2229057305689475
247,0.715418822452218,-0.032656049773248506,0.5287605343157948,0.29132987485110495
248,0.33880719482400373,-0.06259317959479288,0.6418109968804334,0.2872284873364281
249,0.4491310531965285,-0.072180225468067,0.37242453631316363,0.2521429187946419
250,0.5778675423698758,-0.05136488068389129,0.26503096831001083,0.24821125481223727
251,0.16274470852720116,-0.09102200333646643,0.4532288556874548,0.22708926610021998
252,0.0419616609648957,-0.19592906222292192,0.46993281219305916,0.18966397353828177
253,-0.44956117642291515,-0.31472726501214326,0.07604139749464618,0.18028237971236988
254,-0.43199169545511584,-0.35158087758802187,-0.12263265724020364,0.08646462427092107
255,0.4536924192682772,-0.42832955742022627,-0.480713614598523,0.07135542840458277
256,0.4816813073172374,-0.3041839984894426,-0.4368775684076099,0.02463765655875548
257,0.8918630593849133,-0.1332292378312975,0.2348392634276188,0.030455945275170416
