,SPX/SHCOMP inst_corr,SPX/SHCOMP hist_corr
250,0.6195326403754314,-0.3572494191045699
251,0.1051506017662616,-0.34982620020461824
252,0.2645396842486319,-0.3667163089081273
253,0.2645396842486319,-0.41589224533546104
254,0.8901714598641394,-0.36714784611741896
255,0.8901714598641394,-0.36926682562774565
256,0.8054666944466293,-0.32513582671451646
257,0.7144617901316124,-0.07360020173593582
258,0.5561785120460223,-0.07012748924329852
259,0.7907279570060478,0.011182913306653065
260,0.5700711591097094,-0.03228325667947106
261,0.6373731465986668,0.02872658701383481
262,0.4913856856795788,0.048331909074319404
263,0.6150000929321771,0.07675368818328253
264,0.36254366261611,0.06114421419332848
265,-0.01656809306649028,0.05540568766098999
266,-0.24139207545125566,0.1893453218090832
267,-0.2219355364887711,0.2795913457701401
268,-0.12116528573562704,0.2101242643243668
269,0.3379227274577179,0.22799125413410912
270,0.5595743714257092,0.334890368204455
271,0.7842331962527068,0.33874657096982147
272,0.8984535829593843,0.3747192879238876
273,0.811121647142211,0.4610762514442838
274,0.8775060378687441,0.46198621091382835
275,0.7652141395364579,0.4614699899131425
276,0.23376222493785637,0.4487563100308322
277,0.16871951052617876,0.4472539658812627
278,0.34911980090093453,0.4433858752439045
279,0.3109678929795549,0.3420582566613319
280,0.4885478840620189,0.3423829720411712
281,0.43957349355469105,0.3272505787403486
282,0.6407072391050823,0.3099971083291561
283,0.6407072391050823,0.28051368354631084
284,0.5521950561488884,0.2847430145647548
285,0.3788872968056344,0.23396485497625133
286,0.35729384115189394,0.27360785341082033
287,0.17929204779849384,0.3201920687444514
288,-0.16648858605196099,0.30869996369079306
289,-0.1856024426408622,0.31890244683520286
290,-0.19399805604767398,0.4180362819792047
291,0.35502164481036436,0.3949694925958477
292,0.4894963121833058,0.3140225142321413
293,0.06309763554030336,0.25413348400398794
294,0.2464387172239289,0.14824742616286418
295,0.27402226180513833,0.02448357233832244
296,0.4675765009851338,0.019483620379825053
297,0.620502401324639,0.13338207850123754
298,0.29943195221157953,0.11048799288004454
299,-0.057299687642150474,0.08723249185365906
300,0.3150147141377493,0.09032598138085474
301,0.7457777831258412,0.13558831283961897
302,0.8639767874425061,0.13455835143683767
303,0.7701203847813949,0.07074749852917242
304,0.5452835228021827,0.07965194790828449
305,0.7491227673217177,0.16642035063032654
306,0.7491227673217177,0.16811274739403276
307,0.9607706476882983,0.16983343506978774
308,0.7998017632016409,0.19700415803242813
309,0.48705511813563007,0.17540483712148114
310,0.5992727767777477,0.21934592095848887
311,0.6480322805345934,0.2954850875228857
312,0.5569602301472377,0.34567006879823803
313,0.32617707222829206,0.31590236740378264
314,0.17687002718732395,0.2924142756165046
315,0.42256386593055073,0.3564000495562892
316,0.7192114289773339,0.4083315459415171
317,0.8123151161650708,0.4501468437701846
318,0.8642596079936258,0.46784965675713897
319,0.813232005151471,0.39015032154628276
320,0.7605332091309159,0.5316006083307816
321,0.4004372236191445,0.5930496382018284
322,-0.014874272129232006,0.5360480480887816
323,0.299898643763927,0.4341126472522042
324,0.8389043006247419,0.44724796248849147
325,0.21431862086907172,0.4078753573679569
326,0.5754158435875463,0.40149821754561543
327,0.8542294691381906,0.2940609065524189
328,0.71106296403191,0.5165270445348331
329,0.14860187522726317,0.5507231063713434
330,0.06461133266403732,0.23576044100657836
331,0.43940243406397916,0.45460880662119996
332,0.8608727894521009,0.47330819978432936
333,0.35943589009125954,0.4843619441221041
334,-0.10487627341729464,0.39448540029798207
335,0.0529431550810343,0.3971658500924286
336,0.5915756900006613,0.4557294753535512
337,0.2386346806732189,0.44247275323798324
338,-0.038437473305402356,0.3835843450527518
339,0.03896094651941168,0.37562645023612506
340,-0.08554961995152038,0.3069984423367297
341,0.04778783401388062,0.29002281130389834
342,0.10795114854499263,0.26478131068642635
343,0.6554311180755878,0.2582153229168288
344,0.9622611136415424,0.28453337449868393
345,0.5365617119227386,0.3082332722326245
346,-0.028341425744007238,0.31041943376754194
347,-0.4317251680089165,0.28453059799037694
348,-0.4308853570867158,0.28359237123942954
349,-0.15570122483151322,0.2788450902691946
350,-0.19554574304567582,0.22361915046619624
351,0.1999203806039371,0.22397963383756236
352,-0.01510035215648525,0.2846819625918774
353,-0.36433247966845517,0.0711595121737489
354,-0.09062682477873965,0.046520079781599284
355,0.67289601422272,0.04347285754946835
356,0.7551194955326415,0.1252359574626926
357,0.4046100670147599,0.12583532557329324
358,0.04432095172953578,0.011216327776485246
359,0.37934639684741506,0.09590197382312315
360,0.42594895613765127,0.1430322465177525
361,0.5190171957780246,0.1503842464861747
362,0.590572949466781,0.19294957197946536
363,0.8838186068626979,0.19964278820137535
364,0.7231806672674048,0.25237273324545256
