,NKY/TWSE inst_corr,NKY/TWSE hist_corr
258,0.5188374766135917,0.8574010512083463
259,0.5188374766135917,0.8581259931364171
260,0.5188374766135917,0.8581205570754946
261,0.7940671558285836,0.7894212210527
262,0.7695948788786524,0.7242613358497134
263,0.7695948788786524,0.7125042529780313
264,0.7695948788786524,0.7256357022383703
265,0.7695948788786524,0.6912604069814776
266,0.7695948788786524,0.6752008582225097
267,0.7695948788786524,0.7089986096099323
268,0.7695948788786524,0.7054110300434329
269,0.7695948788786524,0.7113663332090133
270,0.7695948788786524,0.7285392699439674
271,0.7695948788786524,0.7631981787038801
272,0.7695948788786524,0.7306767041140018
273,0.7695948788786524,0.7220581933521989
274,0.7695948788786524,0.7199221018587877
275,0.7695948788786524,0.5927401484480225
276,0.7695948788786524,0.5591645919825851
277,0.7695948788786524,0.5676583292130079
278,0.7695948788786524,0.5445201959602597
279,0.7695948788786524,0.5118319616261228
280,0.7695948788786524,0.5249223586038925
281,0.7695948788786524,0.5336232600947307
282,0.7695948788786524,0.5398927944624206
283,0.7695948788786524,0.6115056827596348
284,0.7695948788786524,0.6417476384924391
285,0.7695948788786524,0.6238942665479451
286,0.7695948788786524,0.6252942050417224
287,0.7695948788786524,0.5542825616262794
288,0.7695948788786524,0.5578738386001705
289,0.7695948788786524,0.5237297269775026
290,0.8678665888031459,0.5388033321406195
291,0.9191673434402499,0.6425957914471732
292,0.9191673434402499,0.6297491545910999
293,0.9191673434402499,0.5907395924038368
294,0.9191673434402499,0.6334058603937953
295,0.9191673434402499,0.6250492783500203
296,0.9191673434402499,0.6217350070853944
297,0.9191673434402499,0.6480539332503472
298,0.9191673434402499,0.6986253449564774
299,0.9191673434402499,0.6914632393423925
300,0.9191673434402499,0.6564832662991587
301,0.9191673434402499,0.684191017281344
302,0.9191673434402499,0.6612239768648075
303,0.9191673434402499,0.6406794267414686
304,0.9191673434402499,0.6415612466924984
305,0.9191673434402499,0.6374902462784517
306,0.9191673434402499,0.6168173881010012
307,0.9191673434402499,0.619743857220678
308,0.9191673434402499,0.6230034737085097
309,0.9191673434402499,0.6600438988572649
310,0.9191673434402499,0.6954349681477315
311,0.9191673434402499,0.6396124207092232
312,0.9191673434402499,0.6471483947122249
313,0.9191673434402499,0.48852494113077743
314,0.9191673434402499,0.43232612157783645
315,0.7474833569460112,0.4702371965652132
316,0.2890962175721565,0.26493338374291786
317,0.87324251277149,0.315783565081594
318,0.87324251277149,0.3287900100290377
319,0.87324251277149,0.3903175160897954
320,0.87324251277149,0.39143439701910965
321,0.87324251277149,0.3992984644490063
322,0.7048941589880011,0.34950624658084706
