,HSI/UKX inst_corr,HSI/UKX hist_corr
294,0.7728833232646747,0.4439509734204925
295,0.3043666911013809,0.42215977569721147
296,-0.17931253308544676,0.3360490907253048
297,0.35825768505414946,0.35402180740330924
298,0.35825768505414946,0.25743764397831576
299,0.35825768505414946,0.33075690300371674
300,0.35825768505414946,0.3577191754483829
301,0.6570787694345646,0.32206595325291437
302,0.9441260893753756,0.42983362723322094
303,0.9441260893753756,0.4401356067259737
304,0.9964603508517319,0.4645463138668307
305,0.9964603508517319,0.4565883816463615
306,0.9964603508517319,0.4170001108216192
307,0.7805515545369905,0.45444976086726274
308,0.7363659090682355,0.43946048865215087
309,0.6555146644176507,0.47531766627388927
310,0.38492101550928165,0.48435939865695926
311,0.6303510076589521,0.5530552571524374
312,0.7053190661341384,0.5080329666922809
313,0.3909512462399024,0.44723284689661313
314,0.7487957548486062,0.5889832971622198
315,0.7723509714163018,0.573311737081425
316,-0.0005880059940605475,0.5307605501741111
317,0.5919404834683542,0.5417038903992878
318,0.5919404834683542,0.6171127696987758
319,0.8080363052325594,0.6150777750127244
320,0.5681080730692677,0.5907522716196509
321,0.7706541064023391,0.6273333084305253
322,0.8289338861013229,0.6122208090061296
323,0.34283982088385917,0.5749361945217389
324,0.9344543278759675,0.5152094603352964
325,0.9344543278759675,0.523376771259378
326,0.715958074840814,0.4800904221355318
327,0.5683887014776693,0.5453792347807671
328,-0.019465023217286978,0.5329983859908944
329,-0.1823395099731436,0.44862806984189446
330,-0.07275909851885695,0.41810475708384814
331,-0.06548957930193496,0.36462992532291594
332,0.2921506068694709,0.364960770460464
333,0.8918389882239623,0.3389291780356995
334,0.6857442266413786,0.3549761285977043
335,0.4574559318861889,0.3699739824077538
336,0.4574559318861889,0.18818828736385138
337,0.4574559318861889,0.21828972303523436
338,0.9541481479964302,0.25090625329475724
339,0.792305671679702,0.25029940034826015
340,0.6925048696083741,0.24441985832818433
341,0.8377814495510557,0.2891274372765405
342,0.6642014828879549,0.307276755859033
343,0.5150711065802664,0.16028208338312375
344,0.5150711065802664,0.1649151161487058
345,0.5150711065802664,0.25844901153955485
346,0.8155766566882467,0.2211138808109585
347,0.7430370460130699,0.220038251540945
