,FNERTR/LBEATREU inst_corr,FNERTR/LBEATREU hist_corr,LGER/NKYNTR inst_corr,LGER/NKYNTR hist_corr
200,-0.5425415891110433,-0.2775770031081973,0.6664264323285716,0.49325918147924336
201,-0.5154063799667467,-0.305584006739294,0.6664264323285716,0.4612525072015115
202,-0.28236844934121674,-0.3690222733283434,0.6664264323285716,0.3599908005194094
203,0.1537122266627297,-0.35205831000886495,0.8266577268004586,0.4607127988132627
204,-0.16188742025959096,-0.3616456225540059,0.9161748618632427,0.4728726452249118
205,-0.0633448144306439,-0.3633939161156663,0.9161748618632427,0.5115008444562175
206,-0.6073852359481335,-0.3627562613179071,0.9547005627584039,0.510455093874589
207,-0.7002863810544144,-0.3750771022379425,0.9547005627584039,0.5167195806276731
208,-0.50522292972818,-0.44248940711465123,0.8959289440085412,0.4965831551676552
209,-0.2536753640290498,-0.4420018370227307,0.8481252712829807,0.5602021665370862
210,0.44465850674272067,-0.2659981667521082,0.8507420335048919,0.5603770242591496
211,0.3723899315100916,-0.29871742437509397,0.20473105581568427,0.5432087335179321
212,0.20884084515584528,-0.2844651549791458,0.2687276918448726,0.5367759789985179
213,0.06022267358052085,-0.2991811595689877,0.2687276918448726,0.5164747321687269
214,-0.014769840851522898,-0.22198373101033117,0.2687276918448726,0.5389932655989476
215,-0.02194437566886391,-0.2549035319112312,0.2687276918448726,0.624582411252674
216,0.11164850204857601,-0.25358056127552553,0.5871475466468133,0.5147942739779449
217,-0.22849244190984846,-0.2401267474339789,0.5871475466468133,0.5740539270474562
218,-0.7523882121023289,-0.2881383029167246,0.5871475466468133,0.5134648568063022
219,-0.6423980008103919,-0.22535572469360177,0.5871475466468133,0.519501896253003
220,-0.5286927350834184,-0.3132367860454031,0.8377406786149357,0.5106686965483312
221,-0.4308731635268955,-0.32531110902150007,0.5827453613508722,0.5006544759784899
222,0.05628937968506111,-0.31989333614019766,0.5827453613508722,0.48794208357303775
223,-0.1979512750837418,-0.27399391723129757,0.5827453613508722,0.45234077919427496
224,-0.2554816933323852,-0.3407597472962607,0.5827453613508722,0.4417567211241486
225,0.007770881788422931,-0.2743522288818247,0.5827453613508722,0.16609402451565944
