,LBUSTRUU/VIX inst_corr,LBUSTRUU/VIX hist_corr
288,-0.570568450566546,-0.41659876068496715
289,-0.9128106337878225,-0.5317170253217222
290,-0.9128106337878225,-0.5543043729431469
291,-0.8895637913051708,-0.5915015398574848
292,-0.8895637913051708,-0.6488135715587565
293,-0.7930088056241306,-0.6422914193643797
294,-0.2886733117939488,-0.6540610325557213
295,-0.253484621808819,-0.6186737351488989
296,-0.9456760558244282,-0.6284034696615368
297,-0.9456760558244282,-0.6281234424531869
298,-0.9456760558244282,-0.630689480879158
299,-0.9456760558244282,-0.6293831895522775
300,-0.9456760558244282,-0.6448944354457526
301,-0.695686702113624,-0.7101126004422783
302,-0.7273317813614438,-0.7537327963538697
303,-0.5332420601955892,-0.7243249868302161
304,-0.22350953386017053,-0.7839625936487635
305,-0.09211454027081976,-0.7359393226979896
306,-0.32693626436998646,-0.7003426068426459
307,-0.32693626436998646,-0.697563298615929
308,-0.32693626436998646,-0.6983757999181739
309,-0.33426631397367557,-0.6721148990671506
310,-0.4070111839032009,-0.5469898056946302
311,-0.7832831822325005,-0.44442099231577537
312,-0.5548083456706165,-0.42529140231055085
313,0.03252242164865245,-0.26054885385312854
314,-0.13653966666960485,-0.13424826578771376
315,-0.30156324790995165,-0.1482821384791368
316,-0.49263617655503444,-0.12893235456140936
317,-0.49263617655503444,-0.17048199854689913
318,-0.49263617655503444,-0.12474572389942701
319,-0.49263617655503444,-0.12546025870749408
320,-0.49263617655503444,-0.11788227288691386
321,-0.985270087149302,-0.12411893516214752
322,-0.985270087149302,-0.11441093791981309
323,-0.985270087149302,-0.1301503185069202
324,-0.985270087149302,0.07395788054668519
325,-0.9110294713407547,0.028762770792812156
326,-0.7585458218088604,-0.4115339645943693
327,-0.6342257975499318,-0.4541974335371741
328,-0.7937238771750564,-0.4999683795179805
329,-0.24028628851759085,-0.49572637185255125
330,-0.5978231336194141,-0.4503658013613617
331,-0.5978231336194141,-0.4777253160850305
332,-0.5978231336194141,-0.511672725778948
333,-0.4252955704408318,-0.49279903524589874
334,-0.7961695220326732,-0.52110620140859
335,-0.7961695220326732,-0.5678783795792097
336,-0.8222019214940649,-0.604627734064931
337,-0.7501873453106214,-0.5906447059182578
338,-0.7501873453106214,-0.639840498395249
339,-0.35478191012951504,-0.6227307634808277
340,-0.23190524443632543,-0.611839260187049
341,-0.18993131563700383,-0.5712023435887629
342,-0.18993131563700383,-0.5724760635502675
343,-0.4671307854334782,-0.5535737752625908
344,-0.37109896129400144,-0.5174140436038139
345,-0.617395197607498,-0.5345664406933264
346,-0.6426002560345271,-0.5606377508304916
347,-0.5492595042612537,-0.5424386316527819
348,-0.638973356484695,-0.44531620063607835
349,-0.41963052568328596,-0.4429084002639061
350,-0.8824059197887812,-0.51277760318327
351,-0.8824059197887812,-0.5180868847142828
352,-0.6987630714755867,-0.5493470761726007
353,-0.32231813975824214,-0.5849324315694668
354,-0.19446879830277555,-0.515098736459231
355,-0.21771919520975022,-0.5399077071806873
356,0.00415632724699979,-0.4084465145940363
357,-0.07037648366860311,-0.4014451540838393
358,-0.40586308815973937,-0.3454929424438743
359,-0.7615809093096566,-0.4145898778499973
360,-0.7615809093096566,-0.4414399519711104
