,LEGATRUU/NKY inst_corr,LEGATRUU/NKY hist_corr
247,-0.6356258882930185,0.0583262221015512
248,-0.9095128432369939,-0.036088062809872
249,-0.5096325672565294,-0.03156517957719317
250,-0.05394047478379487,-0.07403884269328058
251,-0.6107574928744401,-0.1275412946174668
252,-0.8335009531839779,-0.07977435158388192
253,-0.5724707368987353,-0.1041380398324182
254,-0.462279008195369,-0.11942177281564317
255,-0.4694752649860983,-0.08923915396450766
256,-0.6003015091597417,-0.04770097025083097
257,-0.7183700308532133,0.06267727477283169
258,-0.7340414536086453,0.06196102311154731
259,-0.3221095624816879,0.07139220786667802
260,-0.32351518353004255,0.11487154126452323
261,0.2948741599854717,0.1067686378137751
262,0.5139182790737468,0.1657406983370228
263,0.32235041938529313,0.16029115663674762
264,-0.4801203188897642,0.1509234583284589
265,-0.27246239794117677,0.11827719840812426
266,-0.13483709558526724,0.2380116470660543
267,-0.3360384594087885,0.15339595896682712
268,-0.4535151809995574,0.07337900472380006
269,-0.7408682743040347,0.06719417810432599
270,-0.48128631786337817,-0.03174077983649458
271,-0.019976545126894125,0.0038037765420723584
272,-0.12115391551584404,-0.03528750355019193
273,-0.8525546438067382,-0.044972127197332394
274,-0.8525546438067382,-0.05172420447247746
275,-0.00841732578183172,-0.06549111990072419
276,0.49068238007569903,0.06286924105679531
277,0.49280594611244793,0.06366191597726864
278,-0.051771905915367164,0.08544715731476163
279,-0.1598380489367235,0.1329767424771275
280,-0.37522473667543693,0.13371108379573057
281,-0.37522473667543693,0.11622568778962926
282,-0.7848589403872214,0.11539207481709363
283,-0.6453486449592781,0.033192229440255454
284,-0.2602128157102812,-0.08343687817342094
285,0.06124623994592226,-0.06631493343779986
286,-0.42033215127467594,-0.0594224795919
287,-0.6424268211571453,0.02182523210227381
288,-0.7342496002765596,-0.09089773019498291
289,0.18731717661192124,-0.09384902744359347
290,0.3787302560507438,0.014373937489956978
291,0.26762426268995526,0.13968702765665283
292,-0.26181435115717006,0.13257634608394586
293,-0.5221335840800317,0.0725243117489415
294,0.07688327232399572,0.08065785229803973
295,-0.1641491254650025,0.13412138787239203
296,-0.497952941595345,0.10512795735245598
297,-0.3049339297664714,0.1422823563024455
298,-0.09121768294741121,0.08845960430782482
299,-0.09120404512433879,0.0413194325197357
300,0.06987455960474903,0.0709800466632209
301,0.052821561705691196,0.0712438307805801
302,-0.09498706470038848,0.07222226882019196
303,-0.6204305418266949,0.07182848381697467
304,-0.8024781060951336,0.0720220456932282
305,0.09083846348585578,0.20029730057755177
306,-0.008249511956000868,0.18099475739728585
307,-0.2929170983759273,0.1645363026281335
308,-0.5386429004061212,0.13297095849611537
309,-0.26181101913772825,0.09125877550731645
310,0.2982757488192326,0.16093261633622605
311,-0.04993085783107374,0.1704533507632367
312,-0.6564806533525013,0.02403164575906912
313,-0.5708544624389039,-0.1261142371500858
314,-0.47871476273313224,0.019270357913388044
315,-0.5039307996574784,-0.08073838094198323
316,-0.43131447065757705,-0.08889297731453792
317,-0.5897810739449942,-0.14577418284043606
318,-0.5162028868116767,-0.11859917252414469
319,0.12619336126713923,-0.09698178221466625
320,-0.010260622412153057,-0.1249911631791297
321,0.38759933442520467,-0.13347023019891202
322,0.22358785664765402,-0.07738223603981913
323,-0.33097290764792114,-0.14210888484679454
324,-0.5742913379849157,-0.14838309288791537
325,0.16270067871136,-0.15718942919203746
326,0.3345097667057157,-0.04603787552035738
327,-0.07097675924958087,0.016916210437163605
328,-0.3575255113209459,0.05017585469043391
329,-0.5491417485626172,-0.01851870341800898
330,-0.5555289042652918,0.019693987199029258
331,-0.6335229822444383,-0.27915938844559474
332,-0.6482622646728123,-0.33716069844863594
333,-0.7147052146590789,-0.3731988688769878
334,-0.5629530265318783,-0.31374197396623543
335,-0.17975136233493538,-0.33139149502492726
336,0.11053188987286006,-0.3225928841878885
337,-0.09278722645154347,-0.3018197700118021
