,FNERTR/FTMIGMI inst_corr,FNERTR/FTMIGMI hist_corr,JPEIGLBL/LGER inst_corr,JPEIGLBL/LGER hist_corr
207,-0.17829110154222078,-0.3418485073586606,0.8981173460419913,0.38761729774165327
208,-0.29678374400128193,-0.39598191555561446,0.5751897377019913,0.39809447515360985
209,-0.21560835563715783,-0.3605200856809425,0.4995701976257781,0.3686894266406465
210,0.2465976779659963,-0.24424630206429968,0.8175470639725907,0.3698060346816193
211,0.24519664892205212,-0.29569878929071836,0.8175470639725907,0.29987672410366195
212,0.5002234554397005,-0.26631626148508136,0.548760096320387,0.34713421402116307
213,0.4273564008804821,-0.24717242912744364,0.3627491628781285,0.30974874221781473
214,0.2650179075812079,-0.15510523744150334,0.6249009111979127,0.4024166241567206
215,0.2762287184942028,-0.20503638909376398,0.8702132225982436,0.4089827594107071
216,0.5349669794368763,-0.20733206580568653,0.8702132225982436,0.4540158369885207
217,-0.04491068663176107,-0.17433068841342156,0.9189167998292939,0.37840790961632786
218,-0.5064672678075688,-0.258309974334919,0.6726872910555546,0.4075264952409867
219,-0.6849574230891351,-0.19881235015054224,-0.15148105974102058,0.3296827784586909
220,-0.4752552835930776,-0.16278962754437318,-0.32522079120269576,0.13844510455439796
221,-0.20211690894830223,-0.14694316877414554,0.12341306270280519,0.2492563902200814
222,0.08573184796384657,-0.1287282956302748,0.7495100161436008,0.2851474768603806
223,0.21989120873673001,-0.07464251161574922,0.2633661940435717,0.10720631226411459
224,0.14059570240724306,-0.11963168073157161,0.33855024503577197,0.2740006811874385
225,0.19302328523470139,-0.010627984295196388,-0.015735890088502957,0.27331767824097075
226,0.11946207725861788,-0.011761086284428146,0.21251172992425896,0.14453061893214028
227,0.11015170323954296,0.026458547242801618,0.7379646446480793,0.15036453913147038
228,0.05036433984587734,-0.011673197313517928,0.8849369624273624,0.12257898806245818
229,0.007158449728470333,-0.014739864176245496,0.5544941327910798,0.13442405145682487
230,-0.29649163083791896,0.1147365150723201,0.24086094108282116,0.1260426231671945
231,-0.16520937358998253,0.08083525755769817,-0.1787298303623741,0.07265636248446777
232,0.1745180059968753,0.07488485883582881,0.11095589043363543,0.08846569071989244
233,0.5709092881821097,0.08367053686819438,0.5644362490432778,0.075558237569213
234,0.4496786679741787,0.20752174378513585,0.037978952671397705,0.1300625910842698
235,0.5917684994140896,0.20861047306565875,-0.2682518631769757,-0.029405045380033135
236,0.6130677822418185,0.2535762298046928,-0.2210659447223385,-0.1021901289571085
237,0.18204892497686148,0.26696174252950367,0.36768865026844344,-0.16032541389334157
238,0.6569079735507629,0.324049078276735,0.175159085443294,-0.14655515891591497
239,0.16848130826747573,0.3221261558597658,0.010938287497787752,-0.1642678819833172
240,-0.4966384068651415,0.2796626418407252,0.43962709020871854,-0.09272966805145912
241,-0.6166748843247306,0.2763943956391062,0.1775188692320172,-0.12157118552376
242,-0.4682189223817769,0.2518543151355291,0.4834549033256225,-0.013620240085166714
243,0.07811351573170051,0.26248960769260093,0.7274859922552904,-0.054869164081769166
244,-0.9423891745291312,0.26052773228258164,0.2834759462971566,-0.06873663876210868
245,-0.7796805096366866,0.2277077711846255,0.684134945826554,-0.05960925101834533
246,-0.43856280014012294,0.1768235488925605,0.681458945176992,-0.07550126422750962
